"arm","gene","in_background","n_terms_bp","n_enriched_terms_bp","n_terms_mf","n_enriched_terms_mf","coverage_class","visible_in_other_ontology"
"WT_heat_up","ACTBL2",TRUE,38,6,25,0,"in_enriched_term",TRUE
"WT_heat_up","ADAM8",TRUE,316,78,25,3,"in_enriched_term",TRUE
"WT_heat_up","ADCY4",TRUE,46,5,28,0,"in_enriched_term",TRUE
"WT_heat_up","ADM",TRUE,208,56,12,5,"in_enriched_term",TRUE
"WT_heat_up","ADORA2A",TRUE,320,56,21,3,"in_enriched_term",TRUE
"WT_heat_up","ADORA2B",TRUE,175,34,8,2,"in_enriched_term",TRUE
"WT_heat_up","AK4",TRUE,77,3,34,0,"in_enriched_term",TRUE
"WT_heat_up","ALDH1A2",TRUE,201,25,16,2,"in_enriched_term",TRUE
"WT_heat_up","ANKRD33B",TRUE,0,0,0,0,"no_annotation",FALSE
"WT_heat_up","ANO1",TRUE,83,5,39,0,"in_enriched_term",TRUE
"WT_heat_up","ANXA2",TRUE,270,44,43,6,"in_enriched_term",TRUE
"WT_heat_up","ANXA3",TRUE,111,23,22,4,"in_enriched_term",TRUE
"WT_heat_up","APLP1",TRUE,106,11,19,1,"in_enriched_term",TRUE
"WT_heat_up","AREG",TRUE,128,23,21,6,"in_enriched_term",TRUE
"WT_heat_up","ARHGEF25",TRUE,47,8,6,0,"in_enriched_term",TRUE
"WT_heat_up","ASB2",TRUE,152,20,13,0,"in_enriched_term",TRUE
"WT_heat_up","ATF3",TRUE,140,13,24,2,"in_enriched_term",TRUE
"WT_heat_up","ATP2B4",TRUE,340,24,64,0,"in_enriched_term",TRUE
"WT_heat_up","AVPR1A",TRUE,228,30,21,3,"in_enriched_term",TRUE
"WT_heat_up","B3GNT5",TRUE,37,0,14,0,"annotated_no_enriched_term",TRUE
"WT_heat_up","BATF3",TRUE,75,3,18,0,"in_enriched_term",TRUE
"WT_heat_up","BCAM",TRUE,27,2,11,2,"in_enriched_term",TRUE
"WT_heat_up","BCL6B",TRUE,66,1,24,0,"in_enriched_term",TRUE
"WT_heat_up","BICD1",TRUE,110,9,21,1,"in_enriched_term",TRUE
"WT_heat_up","C11orf86",TRUE,0,0,0,0,"no_annotation",FALSE
"WT_heat_up","C15orf48",TRUE,0,0,0,0,"no_annotation",FALSE
"WT_heat_up","C22orf15",TRUE,0,0,3,0,"no_annotation",TRUE
"WT_heat_up","C3",TRUE,305,47,24,9,"in_enriched_term",TRUE
"WT_heat_up","CALCA",TRUE,320,66,14,5,"in_enriched_term",TRUE
"WT_heat_up","CAMK2N1",TRUE,26,4,17,0,"in_enriched_term",TRUE
"WT_heat_up","CASZ1",TRUE,55,0,21,2,"annotated_no_enriched_term",TRUE
"WT_heat_up","CCL20",TRUE,66,22,16,9,"in_enriched_term",TRUE
"WT_heat_up","CCL22",TRUE,63,15,15,9,"in_enriched_term",TRUE
"WT_heat_up","CCL3",TRUE,344,75,30,9,"in_enriched_term",TRUE
"WT_heat_up","CCL4",TRUE,120,29,18,9,"in_enriched_term",TRUE
"WT_heat_up","CCN1",TRUE,222,32,15,1,"in_enriched_term",TRUE
"WT_heat_up","CD200",TRUE,203,23,9,1,"in_enriched_term",TRUE
"WT_heat_up","CD40LG",TRUE,193,57,24,8,"in_enriched_term",TRUE
"WT_heat_up","CD53",TRUE,59,10,7,0,"in_enriched_term",TRUE
"WT_heat_up","CD70",TRUE,82,34,12,6,"in_enriched_term",TRUE
"WT_heat_up","CD80",TRUE,248,58,14,3,"in_enriched_term",TRUE
"WT_heat_up","CD83",TRUE,117,29,3,0,"in_enriched_term",TRUE
"WT_heat_up","CDKN1A",TRUE,284,42,32,0,"in_enriched_term",TRUE
"WT_heat_up","CLDN4",TRUE,89,15,20,1,"in_enriched_term",TRUE
"WT_heat_up","CLU",TRUE,341,35,29,3,"in_enriched_term",TRUE
"WT_heat_up","CPM",TRUE,16,0,17,0,"annotated_no_enriched_term",TRUE
"WT_heat_up","CPNE6",TRUE,67,9,14,4,"in_enriched_term",TRUE
"WT_heat_up","CRABP2",TRUE,138,26,19,2,"in_enriched_term",TRUE
"WT_heat_up","CSF2",TRUE,214,29,14,7,"in_enriched_term",TRUE
"WT_heat_up","CTH",TRUE,132,5,20,0,"in_enriched_term",TRUE
"WT_heat_up","CYSTM1",TRUE,0,0,3,0,"no_annotation",TRUE
"WT_heat_up","DAB2",TRUE,376,49,12,0,"in_enriched_term",TRUE
"WT_heat_up","DAGLA",TRUE,71,4,15,0,"in_enriched_term",TRUE
"WT_heat_up","DENND3",TRUE,38,0,6,0,"annotated_no_enriched_term",TRUE
"WT_heat_up","DMWD",TRUE,0,0,10,0,"no_annotation",TRUE
"WT_heat_up","DNAH7",TRUE,29,0,30,0,"annotated_no_enriched_term",TRUE
"WT_heat_up","EBF1",TRUE,30,0,22,0,"annotated_no_enriched_term",TRUE
"WT_heat_up","EGFR",TRUE,339,45,65,2,"in_enriched_term",TRUE
"WT_heat_up","EGR1",TRUE,281,43,30,2,"in_enriched_term",TRUE
"WT_heat_up","EGR2",TRUE,180,22,40,2,"in_enriched_term",TRUE
"WT_heat_up","EGR3",TRUE,167,38,23,2,"in_enriched_term",TRUE
"WT_heat_up","EHD2",TRUE,77,11,30,0,"in_enriched_term",TRUE
"WT_heat_up","EMILIN2",TRUE,110,34,7,0,"in_enriched_term",TRUE
"WT_heat_up","EOMES",TRUE,169,30,25,0,"in_enriched_term",TRUE
"WT_heat_up","EPCAM",TRUE,83,3,9,1,"in_enriched_term",TRUE
"WT_heat_up","EPHA2",TRUE,291,53,38,2,"in_enriched_term",TRUE
"WT_heat_up","EPN2",TRUE,75,8,8,2,"in_enriched_term",TRUE
"WT_heat_up","ESYT3",TRUE,18,2,15,2,"in_enriched_term",TRUE
"WT_heat_up","F3",TRUE,149,44,20,2,"in_enriched_term",TRUE
"WT_heat_up","FAH",TRUE,39,0,12,0,"annotated_no_enriched_term",TRUE
"WT_heat_up","FAM110C",TRUE,46,6,6,0,"in_enriched_term",TRUE
"WT_heat_up","FAM83G",TRUE,21,5,6,0,"in_enriched_term",TRUE
"WT_heat_up","FASLG",TRUE,244,26,14,7,"in_enriched_term",TRUE
"WT_heat_up","FOSL1",TRUE,132,10,18,0,"in_enriched_term",TRUE
"WT_heat_up","FOSL2",TRUE,219,40,19,2,"in_enriched_term",TRUE
"WT_heat_up","GAP43",TRUE,89,13,15,3,"in_enriched_term",TRUE
"WT_heat_up","GATM",TRUE,43,4,8,0,"in_enriched_term",TRUE
"WT_heat_up","GDF6",TRUE,124,11,12,5,"in_enriched_term",TRUE
"WT_heat_up","GFI1",TRUE,191,8,27,0,"in_enriched_term",TRUE
"WT_heat_up","GFPT2",TRUE,40,1,10,0,"in_enriched_term",TRUE
"WT_heat_up","GJA5",TRUE,228,29,20,0,"in_enriched_term",TRUE
"WT_heat_up","GPR183",TRUE,138,47,10,2,"in_enriched_term",TRUE
"WT_heat_up","GPRC5A",TRUE,78,2,17,3,"in_enriched_term",TRUE
"WT_heat_up","GPRIN2",TRUE,20,0,3,0,"annotated_no_enriched_term",TRUE
"WT_heat_up","GRP",TRUE,124,18,12,4,"in_enriched_term",TRUE
"WT_heat_up","HAVCR1",TRUE,43,5,12,3,"in_enriched_term",TRUE
"WT_heat_up","HBEGF",TRUE,136,31,24,5,"in_enriched_term",TRUE
"WT_heat_up","HK2",TRUE,202,15,29,0,"in_enriched_term",TRUE
"WT_heat_up","HSPA1A",TRUE,418,29,61,5,"in_enriched_term",TRUE
"WT_heat_up","HSPG2",TRUE,116,23,22,1,"in_enriched_term",TRUE
"WT_heat_up","HSPH1",TRUE,64,15,26,0,"in_enriched_term",TRUE
"WT_heat_up","IDI2",TRUE,31,0,12,0,"annotated_no_enriched_term",TRUE
"WT_heat_up","IER3",TRUE,239,11,3,0,"in_enriched_term",TRUE
"WT_heat_up","IGF2BP2",TRUE,112,1,13,0,"in_enriched_term",TRUE
"WT_heat_up","IGKC",TRUE,34,6,3,0,"in_enriched_term",TRUE
"WT_heat_up","IL17F",TRUE,183,29,16,5,"in_enriched_term",TRUE
"WT_heat_up","IL1A",TRUE,303,66,19,6,"in_enriched_term",TRUE
"WT_heat_up","IL1RN",TRUE,96,7,24,6,"in_enriched_term",TRUE
"WT_heat_up","IL2",TRUE,346,71,27,8,"in_enriched_term",TRUE
"WT_heat_up","IL23A",TRUE,340,77,12,5,"in_enriched_term",TRUE
"WT_heat_up","IL24",TRUE,54,4,10,4,"in_enriched_term",TRUE
"WT_heat_up","IL3",TRUE,40,2,14,7,"in_enriched_term",TRUE
"WT_heat_up","IL9",TRUE,95,19,14,7,"in_enriched_term",TRUE
"WT_heat_up","ILDR1",TRUE,100,5,7,0,"in_enriched_term",TRUE
"WT_heat_up","INHBA",TRUE,427,70,21,6,"in_enriched_term",TRUE
"WT_heat_up","IRF6",TRUE,79,10,18,2,"in_enriched_term",TRUE
"WT_heat_up","ITGA3",TRUE,192,31,22,1,"in_enriched_term",TRUE
"WT_heat_up","KDM6B",TRUE,122,19,32,0,"in_enriched_term",TRUE
"WT_heat_up","KLRC1",TRUE,128,12,14,1,"in_enriched_term",TRUE
"WT_heat_up","LAMC2",TRUE,24,4,8,0,"in_enriched_term",TRUE
"WT_heat_up","LTA",TRUE,177,37,13,7,"in_enriched_term",TRUE
"WT_heat_up","MAB21L3",TRUE,0,0,3,0,"no_annotation",TRUE
"WT_heat_up","MCF2L",TRUE,30,0,11,1,"annotated_no_enriched_term",TRUE
"WT_heat_up","MOCOS",TRUE,16,0,20,0,"annotated_no_enriched_term",TRUE
"WT_heat_up","MST1R",TRUE,117,10,32,1,"in_enriched_term",TRUE
"WT_heat_up","MYO16",TRUE,70,4,25,0,"in_enriched_term",TRUE
"WT_heat_up","NAB2",TRUE,72,5,9,0,"in_enriched_term",TRUE
"WT_heat_up","NEB",TRUE,60,9,9,0,"in_enriched_term",TRUE
"WT_heat_up","NEO1",TRUE,181,26,12,1,"in_enriched_term",TRUE
"WT_heat_up","NOTCH3",TRUE,136,25,14,1,"in_enriched_term",TRUE
"WT_heat_up","NPPC",TRUE,272,32,17,4,"in_enriched_term",TRUE
"WT_heat_up","NPR3",TRUE,101,18,23,2,"in_enriched_term",TRUE
"WT_heat_up","NR4A1",TRUE,176,23,39,3,"in_enriched_term",TRUE
"WT_heat_up","NR4A2",TRUE,182,16,38,3,"in_enriched_term",TRUE
"WT_heat_up","NR4A3",TRUE,344,61,44,3,"in_enriched_term",TRUE
"WT_heat_up","OAF",TRUE,0,0,0,0,"no_annotation",FALSE
"WT_heat_up","OAS3",TRUE,171,7,28,0,"in_enriched_term",TRUE
"WT_heat_up","OLR1",TRUE,24,3,8,0,"in_enriched_term",TRUE
"WT_heat_up","OPHN1",TRUE,180,16,17,1,"in_enriched_term",TRUE
"WT_heat_up","P4HA2",TRUE,0,0,28,0,"no_annotation",TRUE
"WT_heat_up","PAK1",TRUE,377,60,37,0,"in_enriched_term",TRUE
"WT_heat_up","PDGFB",TRUE,445,91,24,5,"in_enriched_term",TRUE
"WT_heat_up","PIK3AP1",TRUE,73,5,7,0,"in_enriched_term",TRUE
"WT_heat_up","PKIB",TRUE,36,0,14,0,"annotated_no_enriched_term",TRUE
"WT_heat_up","PLA1A",TRUE,16,0,8,0,"annotated_no_enriched_term",TRUE
"WT_heat_up","PLA2G4C",TRUE,71,3,27,2,"in_enriched_term",TRUE
"WT_heat_up","PLAUR",TRUE,153,34,9,0,"in_enriched_term",TRUE
"WT_heat_up","PLEK",TRUE,185,14,20,0,"in_enriched_term",TRUE
"WT_heat_up","PLEK2",TRUE,35,0,13,1,"annotated_no_enriched_term",TRUE
