"arm","ontology","iea_variant","ID","cluster_id","Description","p.adjust","Count","cluster_size","cluster_representative","cluster_min_padj"
"WT_heat_up","BP","with_iea","GO:0048514",1,"blood vessel morphogenesis",3.51386249216754e-09,32,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:0001525",1,"angiogenesis",3.51386249216754e-09,30,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:0030335",2,"positive regulation of cell migration",1.50042459533541e-06,27,29,"positive regulation of cell migration",1.50042459533541e-06
"WT_heat_up","BP","with_iea","GO:0001819",3,"positive regulation of cytokine production",1.50042459533541e-06,26,12,"positive regulation of cytokine production",1.50042459533541e-06
"WT_heat_up","BP","with_iea","GO:0006935",4,"chemotaxis",1.50042459533541e-06,23,4,"chemotaxis",1.50042459533541e-06
"WT_heat_up","BP","with_iea","GO:0042330",4,"taxis",1.50042459533541e-06,23,4,"chemotaxis",1.50042459533541e-06
"WT_heat_up","BP","with_iea","GO:2000147",2,"positive regulation of cell motility",1.68703630347035e-06,27,29,"positive regulation of cell migration",1.50042459533541e-06
"WT_heat_up","BP","with_iea","GO:0040017",5,"positive regulation of locomotion",2.35044382927788e-06,27,5,"positive regulation of locomotion",2.35044382927788e-06
"WT_heat_up","BP","with_iea","GO:0045765",1,"regulation of angiogenesis",6.40506255095317e-06,18,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:1901342",1,"regulation of vasculature development",8.12957055244992e-06,18,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:0019221",6,"cytokine-mediated signaling pathway",2.03952409726322e-05,24,29,"cytokine-mediated signaling pathway",2.03952409726322e-05
"WT_heat_up","BP","with_iea","GO:0060326",2,"cell chemotaxis",3.64781682960014e-05,17,29,"positive regulation of cell migration",1.50042459533541e-06
"WT_heat_up","BP","with_iea","GO:0009611",7,"response to wounding",3.74651045292467e-05,24,19,"response to wounding",3.74651045292467e-05
"WT_heat_up","BP","with_iea","GO:0048771",8,"tissue remodeling",4.43350331575523e-05,13,12,"tissue remodeling",4.43350331575523e-05
"WT_heat_up","BP","with_iea","GO:2001233",6,"regulation of apoptotic signaling pathway",4.43350331575523e-05,20,29,"cytokine-mediated signaling pathway",2.03952409726322e-05
"WT_heat_up","BP","with_iea","GO:0050867",9,"positive regulation of cell activation",7.48043675535837e-05,20,21,"positive regulation of cell activation",7.48043675535837e-05
"WT_heat_up","BP","with_iea","GO:0048729",1,"tissue morphogenesis",9.24894703251224e-05,23,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:0045785",10,"positive regulation of cell adhesion",0.000105513251350538,22,7,"positive regulation of cell adhesion",0.000105513251350538
"WT_heat_up","BP","with_iea","GO:0002696",9,"positive regulation of leukocyte activation",0.0001295551709466,19,21,"positive regulation of cell activation",7.48043675535837e-05
"WT_heat_up","BP","with_iea","GO:0050727",7,"regulation of inflammatory response",0.0001295551709466,19,19,"response to wounding",3.74651045292467e-05
"WT_heat_up","BP","with_iea","GO:0002694",9,"regulation of leukocyte activation",0.000167762562044848,24,21,"positive regulation of cell activation",7.48043675535837e-05
"WT_heat_up","BP","with_iea","GO:2001236",6,"regulation of extrinsic apoptotic signaling pathway",0.00022100184569706,12,29,"cytokine-mediated signaling pathway",2.03952409726322e-05
"WT_heat_up","BP","with_iea","GO:0042060",7,"wound healing",0.000319060581743112,19,19,"response to wounding",3.74651045292467e-05
"WT_heat_up","BP","with_iea","GO:0050878",11,"regulation of body fluid levels",0.000326939861902462,17,15,"regulation of body fluid levels",0.000326939861902462
"WT_heat_up","BP","with_iea","GO:0070661",12,"leukocyte proliferation",0.000438689922351499,17,23,"leukocyte proliferation",0.000438689922351499
"WT_heat_up","BP","with_iea","GO:0097191",6,"extrinsic apoptotic signaling pathway",0.000445570403798779,14,29,"cytokine-mediated signaling pathway",2.03952409726322e-05
"WT_heat_up","BP","with_iea","GO:0006959",13,"humoral immune response",0.000445570403798779,12,8,"humoral immune response",0.000445570403798779
"WT_heat_up","BP","with_iea","GO:0007200",6,"phospholipase C-activating G protein-coupled receptor signaling pathway",0.000846924741030785,9,29,"cytokine-mediated signaling pathway",2.03952409726322e-05
"WT_heat_up","BP","with_iea","GO:0022407",10,"regulation of cell-cell adhesion",0.000846924741030785,20,7,"positive regulation of cell adhesion",0.000105513251350538
"WT_heat_up","BP","with_iea","GO:0016525",1,"negative regulation of angiogenesis",0.000846924741030785,9,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:2000181",1,"negative regulation of blood vessel morphogenesis",0.000846924741030785,9,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:0030307",14,"positive regulation of cell growth",0.000846924741030785,11,8,"positive regulation of cell growth",0.000846924741030785
"WT_heat_up","BP","with_iea","GO:0022409",10,"positive regulation of cell-cell adhesion",0.000857982459627749,16,7,"positive regulation of cell adhesion",0.000105513251350538
"WT_heat_up","BP","with_iea","GO:1901343",1,"negative regulation of vasculature development",0.000857982459627749,9,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:0045744",6,"negative regulation of G protein-coupled receptor signaling pathway",0.000926118480216977,7,29,"cytokine-mediated signaling pathway",2.03952409726322e-05
"WT_heat_up","BP","with_iea","GO:0050673",12,"epithelial cell proliferation",0.000926118480216977,17,23,"leukocyte proliferation",0.000438689922351499
"WT_heat_up","BP","with_iea","GO:0050729",7,"positive regulation of inflammatory response",0.000947414405690874,11,19,"response to wounding",3.74651045292467e-05
"WT_heat_up","BP","with_iea","GO:0009617",15,"response to bacterium",0.000947414405690874,22,8,"response to bacterium",0.000947414405690874
"WT_heat_up","BP","with_iea","GO:0007159",10,"leukocyte cell-cell adhesion",0.000947414405690874,18,7,"positive regulation of cell adhesion",0.000105513251350538
"WT_heat_up","BP","with_iea","GO:0001707",1,"mesoderm formation",0.000950851552143065,7,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:0048332",1,"mesoderm morphogenesis",0.00106429600576406,7,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:0050900",2,"leukocyte migration",0.00110169267909318,16,29,"positive regulation of cell migration",1.50042459533541e-06
"WT_heat_up","BP","with_iea","GO:1903532",16,"positive regulation of secretion by cell",0.00110278628228388,14,12,"positive regulation of secretion by cell",0.00110278628228388
"WT_heat_up","BP","with_iea","GO:0008277",6,"regulation of G protein-coupled receptor signaling pathway",0.00110278628228388,10,29,"cytokine-mediated signaling pathway",2.03952409726322e-05
"WT_heat_up","BP","with_iea","GO:2001238",6,"positive regulation of extrinsic apoptotic signaling pathway",0.00110898148127483,7,29,"cytokine-mediated signaling pathway",2.03952409726322e-05
"WT_heat_up","BP","with_iea","GO:0001890",1,"placenta development",0.00112137064568773,10,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:0048598",1,"embryonic morphogenesis",0.00112137064568773,20,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:0030595",2,"leukocyte chemotaxis",0.0011256140256525,12,29,"positive regulation of cell migration",1.50042459533541e-06
"WT_heat_up","BP","with_iea","GO:0031349",7,"positive regulation of defense response",0.00114603895048557,21,19,"response to wounding",3.74651045292467e-05
"WT_heat_up","BP","with_iea","GO:0071674",2,"mononuclear cell migration",0.00114603895048557,12,29,"positive regulation of cell migration",1.50042459533541e-06
"WT_heat_up","BP","with_iea","GO:0044057",17,"regulation of system process",0.00114603895048557,18,10,"regulation of system process",0.00114603895048557
"WT_heat_up","BP","with_iea","GO:0010720",18,"positive regulation of cell development",0.00116665492851909,18,31,"positive regulation of cell development",0.00116665492851909
"WT_heat_up","BP","with_iea","GO:0045766",1,"positive regulation of angiogenesis",0.0013309986632434,10,56,"blood vessel morphogenesis",3.51386249216754e-09
"WT_heat_up","BP","with_iea","GO:0050818",17,"regulation of coagulation",0.00133322645839367,7,10,"regulation of system process",0.00114603895048557
"WT_heat_up","BP","with_iea","GO:0061844",15,"antimicrobial humoral immune response mediated by antimicrobial peptide",0.00133322645839367,7,8,"response to bacterium",0.000947414405690874
