"arm","n_arm_genes","curated_lens","n_lens_genes","go_id","go_term","go_ontology","go_id_in_go_db","iea_variant","n_go_term_genes_in_universe","n_claimed_by_go","n_claimed_by_lens","n_shared","jaccard","genes_go_only","genes_shared","genes_lens_only","go_term_status","go_term_tested","go_term_enriched","go_term_p_adjust","go_term_qvalue","go_term_rank_in_arm","n_enriched_terms_in_arm","no_iea_n_go_term_genes_in_universe","no_iea_n_claimed_by_go","no_iea_status","no_iea_tested","no_iea_enriched","no_iea_p_adjust","no_iea_rank_in_arm","no_iea_n_enriched_terms_in_arm","go_term_p_matched","go_term_frac_matched_reaching_q"
"WT_heat_up",199,"HALLMARK_HYPOXIA",200,"GO:0001666","response to hypoxia","BP",TRUE,"with_iea",245,12,18,3,0.111111111111111,"ADAM8/EGR1/HSPG2/INHBA/LTA/NPPC/NR4A2/PAK1/PTGS2","AK4/FOSL2/HK2","ADM/ADORA2B/ANXA2/ATF3/CCN1/CDKN1A/EGFR/F3/IER3/P4HA2/PDGFB/PLAUR/SDC4/SERPINE1/TGM2","tested",TRUE,TRUE,0.0108601308309182,0.00841336319979217,161,386,130,4,"tested",TRUE,FALSE,NA,NA,227,0.15192403798101,0.241
"WT_heat_up",199,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",200,"GO:0007249","canonical NF-kappaB signal transduction","BP",TRUE,"with_iea",304,10,35,2,0.0465116279069767,"ADAM8/CD200/CD40LG/CTH/FASLG/LTA/TNFSF11/TNFSF14","IL1A/PLK2","AREG/ATF3/CCL20/CCL4/CCN1/CD80/CD83/CDKN1A/CSF2/EGR1/EGR2/EGR3/F3/FOSL1/FOSL2/GFPT2/GPR183/HBEGF/IER3/IL23A/INHBA/KDM6B/NR4A1/NR4A2/NR4A3/OLR1/PLAUR/PLEK/PTGS2/SDC4/SERPINE1/SPHK1/TNFSF9","tested",TRUE,FALSE,NA,NA,NA,386,281,9,"tested",TRUE,FALSE,NA,NA,227,NA,NA
"WT_heat_up",199,"HALLMARK_INFLAMMATORY_RESPONSE",200,"GO:0006954","inflammatory response","BP",TRUE,"with_iea",688,43,21,12,0.230769230769231,"ADAM8/ADORA2A/BCL6B/C3/CAMK2N1/CCL3/CCL4/CD200/CD40LG/CLU/DAGLA/EPHA2/FOSL1/FOSL2/HSPG2/IER3/IL17F/IL1RN/IL2/IL23A/IL9/KDM6B/NR4A1/PIK3AP1/PLA2G4C/PLK2/PTGS2/S1PR3/SCN9A/TNFSF11/TP73","ADM/ADORA2B/CCL20/CCL22/F3/IL1A/LTA/OLR1/PTGER2/SERPINE1/SPHK1/TIMP1","CD70/CDKN1A/GPR183/HBEGF/INHBA/PLAUR/RGS16/SGMS2/TNFSF9","above_max_gs_size",FALSE,NA,NA,NA,NA,386,485,29,"tested",TRUE,TRUE,5.78302104301078e-07,5,227,NA,NA
"WT_heat_up",199,"HALLMARK_IL2_STAT5_SIGNALING",199,"GO:0038110","interleukin-2-mediated signaling pathway","BP",TRUE,"with_iea",12,1,14,0,0,"IL2","","APLP1/BATF3/CD83/CSF2/EOMES/FAH/HK2/IRF6/PTGER2/RGS16/SCN9A/SPP1/TGM2/TNFSF11","tested",TRUE,FALSE,NA,NA,NA,386,12,1,"tested",TRUE,FALSE,NA,NA,227,NA,NA
"WT_heat_up",199,"HALLMARK_INTERFERON_ALPHA_RESPONSE",97,"GO:0035455","response to interferon-alpha","BP",TRUE,"with_iea",18,0,1,0,0,"","","PROCR","no_arm_gene_in_term",FALSE,NA,NA,NA,NA,386,17,0,"no_arm_gene_in_term",FALSE,NA,NA,NA,227,NA,NA
"WT_heat_up",199,"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",113,"GO:0006986","response to unfolded protein","BP",TRUE,"with_iea",135,4,1,1,0.25,"CTH/HSPA1A/HSPH1","ATF3","","tested",TRUE,FALSE,NA,NA,NA,386,105,3,"tested",TRUE,FALSE,NA,NA,227,NA,NA
"WT_heat_up",199,"HSR_core",56,"GO:0009408","response to heat","BP",TRUE,"with_iea",82,3,2,1,0.25,"ANO1/IL1A","HSPA1A","HSPH1","tested",TRUE,FALSE,NA,NA,NA,386,61,3,"tested",TRUE,FALSE,NA,NA,227,NA,NA
"WT_heat_up",199,"deCevins_STING_IFN_independent",21,"GO:0140896","cGAS/STING signaling pathway","BP",TRUE,"with_iea",31,0,2,0,0,"","","PLAUR/PTGS2","no_arm_gene_in_term",FALSE,NA,NA,NA,NA,386,31,0,"no_arm_gene_in_term",FALSE,NA,NA,NA,227,NA,NA
"WT_heat_up",199,"IFN_axis_generic",200,"GO:0060337","type I interferon-mediated signaling pathway","BP",TRUE,"with_iea",73,1,6,1,0.166666666666667,"","OAS3","ATF3/IL1RN/IL2/SAMD4A/TGM1","tested",TRUE,FALSE,NA,NA,NA,386,65,1,"tested",TRUE,FALSE,NA,NA,227,NA,NA
"KO_heat_up",218,"HALLMARK_HYPOXIA",200,"GO:0001666","response to hypoxia","BP",TRUE,"with_iea",245,11,19,4,0.153846153846154,"ADAM8/EGR1/INHBA/LTA/NPPC/NR4A2/PAK1","AK4/FOSL2/HK2/SLC2A1","ADM/ADORA2B/ANXA2/CAVIN1/CCN1/CDKN1A/EGFR/F3/IER3/P4HA2/PDGFB/PLAUR/SDC4/SERPINE1/TGM2","tested",TRUE,TRUE,0.0399930792431677,0.0317157492345938,265,316,130,3,"tested",TRUE,FALSE,NA,NA,201,0.218890554722639,0.1185
"KO_heat_up",218,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",200,"GO:0007249","canonical NF-kappaB signal transduction","BP",TRUE,"with_iea",304,11,33,2,0.0476190476190476,"ADAM8/CARD10/CD200/CD40LG/CTH/FASLG/LTA/TNFSF11/TNFSF14","IL1A/PLK2","AREG/CCL20/CCL4/CCN1/CD80/CD83/CDKN1A/CSF2/EGR1/EGR2/EGR3/F3/FOSL1/FOSL2/GFPT2/GPR183/HBEGF/IER3/IL23A/INHBA/KDM6B/NR4A1/NR4A2/NR4A3/OLR1/PLAUR/PLEK/SDC4/SERPINE1/SPHK1/TNFSF9","tested",TRUE,FALSE,NA,NA,NA,316,281,10,"tested",TRUE,FALSE,NA,NA,201,NA,NA
"KO_heat_up",218,"HALLMARK_INFLAMMATORY_RESPONSE",200,"GO:0006954","inflammatory response","BP",TRUE,"with_iea",688,45,21,12,0.222222222222222,"ADAM8/ADORA2A/BCL6B/C3/CAMK2N1/CCL3/CCL4/CD200/CD40LG/CLU/DAGLA/EPHA2/FOSL1/FOSL2/GZMA/IER3/IL17F/IL1R2/IL1RN/IL2/IL23A/IL9/KDM6B/LTB4R/MAPK13/NR4A1/PLA2G4C/PLK2/S1PR3/SCN9A/TNFSF11/TP73/UACA","ADM/ADORA2B/CCL20/CCL22/F3/IL1A/LTA/OLR1/PTGER2/SERPINE1/SPHK1/TIMP1","CD70/CDKN1A/GPR183/HBEGF/INHBA/PLAUR/RGS16/SGMS2/TNFSF9","above_max_gs_size",FALSE,NA,NA,NA,NA,316,485,30,"tested",TRUE,TRUE,1.99201566191858e-06,2,201,NA,NA
"KO_heat_up",218,"HALLMARK_IL2_STAT5_SIGNALING",199,"GO:0038110","interleukin-2-mediated signaling pathway","BP",TRUE,"with_iea",12,1,16,0,0,"IL2","","APLP1/BATF3/CD83/CDCP1/CSF2/EOMES/FAH/HK2/IL1R2/IRF6/PTGER2/RGS16/SCN9A/SPP1/TGM2/TNFSF11","tested",TRUE,FALSE,NA,NA,NA,316,12,1,"tested",TRUE,FALSE,NA,NA,201,NA,NA
"KO_heat_up",218,"HALLMARK_INTERFERON_ALPHA_RESPONSE",97,"GO:0035455","response to interferon-alpha","BP",TRUE,"with_iea",18,0,1,0,0,"","","PROCR","no_arm_gene_in_term",FALSE,NA,NA,NA,NA,316,17,0,"no_arm_gene_in_term",FALSE,NA,NA,NA,201,NA,NA
"KO_heat_up",218,"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",113,"GO:0006986","response to unfolded protein","BP",TRUE,"with_iea",135,3,0,0,0,"CTH/HSPA1A/HSPH1","","","tested",TRUE,FALSE,NA,NA,NA,316,105,3,"tested",TRUE,FALSE,NA,NA,201,NA,NA
"KO_heat_up",218,"HSR_core",56,"GO:0009408","response to heat","BP",TRUE,"with_iea",82,3,2,1,0.25,"ANO1/IL1A","HSPA1A","HSPH1","tested",TRUE,FALSE,NA,NA,NA,316,61,3,"tested",TRUE,FALSE,NA,NA,201,NA,NA
"KO_heat_up",218,"deCevins_STING_IFN_independent",21,"GO:0140896","cGAS/STING signaling pathway","BP",TRUE,"with_iea",31,0,1,0,0,"","","PLAUR","no_arm_gene_in_term",FALSE,NA,NA,NA,NA,316,31,0,"no_arm_gene_in_term",FALSE,NA,NA,NA,201,NA,NA
"KO_heat_up",218,"IFN_axis_generic",200,"GO:0060337","type I interferon-mediated signaling pathway","BP",TRUE,"with_iea",73,0,4,0,0,"","","IL1RN/IL2/SAMD4A/TGM1","no_arm_gene_in_term",FALSE,NA,NA,NA,NA,316,65,0,"no_arm_gene_in_term",FALSE,NA,NA,NA,201,NA,NA
"Interaction_up",7,"HALLMARK_HYPOXIA",200,"GO:0001666","response to hypoxia","BP",TRUE,"with_iea",245,0,0,0,NA,"","","","no_arm_gene_in_term",FALSE,NA,NA,NA,NA,47,130,0,"no_arm_gene_in_term",FALSE,NA,NA,NA,53,NA,NA
"Interaction_up",7,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",200,"GO:0007249","canonical NF-kappaB signal transduction","BP",TRUE,"with_iea",304,1,0,0,0,"TRIM5","","","tested",TRUE,FALSE,NA,NA,NA,47,281,1,"tested",TRUE,FALSE,NA,NA,53,NA,NA
"Interaction_up",7,"HALLMARK_INFLAMMATORY_RESPONSE",200,"GO:0006954","inflammatory response","BP",TRUE,"with_iea",688,1,2,0,0,"IFI16","","IRF7/RTP4","above_max_gs_size",FALSE,NA,NA,NA,NA,47,485,1,"tested",TRUE,FALSE,NA,NA,53,NA,NA
"Interaction_up",7,"HALLMARK_IL2_STAT5_SIGNALING",199,"GO:0038110","interleukin-2-mediated signaling pathway","BP",TRUE,"with_iea",12,0,0,0,NA,"","","","no_arm_gene_in_term",FALSE,NA,NA,NA,NA,47,12,0,"no_arm_gene_in_term",FALSE,NA,NA,NA,53,NA,NA
"Interaction_up",7,"HALLMARK_INTERFERON_ALPHA_RESPONSE",97,"GO:0035455","response to interferon-alpha","BP",TRUE,"with_iea",18,0,4,0,0,"","","IRF7/MX1/RTP4/TRIM5","no_arm_gene_in_term",FALSE,NA,NA,NA,NA,47,17,0,"no_arm_gene_in_term",FALSE,NA,NA,NA,53,NA,NA
