"rank","ID","Description","term_size","k_obs","p_adjust_hypergeometric","p_matched","frac_matched_reaching_q","k_null_matched_mean","simplify_kept"
1,"GO:0001525","angiogenesis",407,30,2.44307501e-09,0.000499750125,0.3665,13.506,TRUE
2,"GO:0048514","blood vessel morphogenesis",463,32,2.44307501e-09,0.000499750125,0.4705,15.6485,FALSE
3,"GO:0001819","positive regulation of cytokine production",415,26,1.2469089e-06,0.00449775112,0.6275,15.886,TRUE
4,"GO:0006935","chemotaxis",330,23,1.2469089e-06,0.000499750125,0.281,10.9225,TRUE
5,"GO:0030335","positive regulation of cell migration",441,27,1.2469089e-06,0.00349825087,0.5855,16.2615,TRUE
6,"GO:0042330","taxis",330,23,1.2469089e-06,0.000499750125,0.281,10.9225,FALSE
7,"GO:2000147","positive regulation of cell motility",455,27,1.32756354e-06,0.003998001,0.595,16.6305,FALSE
8,"GO:0040017","positive regulation of locomotion",465,27,1.85666364e-06,0.00449775112,0.6055,16.9525,TRUE
9,"GO:0045765","regulation of angiogenesis",222,18,5.03567769e-06,0.000499750125,0.244122061,7.939,FALSE
10,"GO:1901342","regulation of vasculature development",227,18,6.41928423e-06,0.000499750125,0.249124562,8.157,FALSE
11,"GO:0019221","cytokine-mediated signaling pathway",424,24,1.72250204e-05,0.00299850075,0.4005,14.1895,TRUE
12,"GO:0009611","response to wounding",443,24,3.31439078e-05,0.0059970015,0.4035,14.6245,TRUE
13,"GO:0060326","cell chemotaxis",228,17,3.31439078e-05,0.00349825087,0.206103052,7.7735,TRUE
14,"GO:0048771","tissue remodeling",132,13,3.82964472e-05,0.00099950025,0.114127702,4.9115,TRUE
15,"GO:2001233","regulation of apoptotic signaling pathway",322,20,3.99203412e-05,0.00649675162,0.3305,11.2735,TRUE
16,"GO:0050867","positive regulation of cell activation",333,20,6.42781154e-05,0.0374812594,0.595,13.5065,TRUE
17,"GO:0048729","tissue morphogenesis",436,23,7.6026515e-05,0.0144927536,0.4805,15.1245,TRUE
18,"GO:0045785","positive regulation of cell adhesion",407,22,8.6895052e-05,0.0469765117,0.597,15.5365,TRUE
19,"GO:0002696","positive regulation of leukocyte activation",318,19,0.000112015137,0.0529735132,0.5695,13.057,FALSE
20,"GO:0050727","regulation of inflammatory response",318,19,0.000112015137,0.015992004,0.3975,11.717,TRUE
21,"GO:0002694","regulation of leukocyte activation",493,24,0.000143923664,0.12143928,0.744,19.071,FALSE
22,"GO:2001236","regulation of extrinsic apoptotic signaling pathway",134,12,0.000206760222,0.00299850075,0.126384693,4.8665,FALSE
23,"GO:0042060","wound healing",342,19,0.000289994806,0.0114942529,0.2605,11.0395,FALSE
24,"GO:0050878","regulation of body fluid levels",280,17,0.000299605588,0.00549725137,0.1325,8.433,TRUE
25,"GO:0070661","leukocyte proliferation",287,17,0.000402290381,0.0419790105,0.4795,11.4375,TRUE
26,"GO:0097191","extrinsic apoptotic signaling pathway",199,14,0.000416590217,0.0109945027,0.197098549,7.125,FALSE
27,"GO:0006959","humoral immune response",146,12,0.000417325708,0.000499750125,0.0354969574,3.945,TRUE
28,"GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway",84,9,0.000735562823,0.000499750125,0.0213363279,2.1575,FALSE
29,"GO:0016525","negative regulation of angiogenesis",84,9,0.000735562823,0.0019990005,0.0685146444,2.9345,FALSE
30,"GO:0022407","regulation of cell-cell adhesion",406,20,0.000735562823,0.151924038,0.6445,15.8865,FALSE
31,"GO:2000181","negative regulation of blood vessel morphogenesis",84,9,0.000735562823,0.0019990005,0.0685146444,2.9345,FALSE
32,"GO:0022409","positive regulation of cell-cell adhesion",275,16,0.000739965711,0.0729635182,0.4465,11.029,FALSE
33,"GO:0030307","positive regulation of cell growth",131,11,0.000739965711,0.00449775112,0.0842158346,4.414,TRUE
34,"GO:1901343","negative regulation of vasculature development",85,9,0.000739965711,0.0019990005,0.0700104493,2.9445,FALSE
35,"GO:0007159","leukocyte cell-cell adhesion",346,18,0.000834613425,0.130934533,0.584,13.832,TRUE
36,"GO:0009617","response to bacterium",489,22,0.000834613425,0.0564717641,0.3805,15.59,TRUE
