"go_id","go_term","ontology","found_by","status","tested","term_size_in_universe","k_arm","expected_k","pvalue","p_adjust","p_matched","frac_matched_reaching_q","enriched","genes_hit"
"GO:0006458","'de novo' protein folding","BP","configured id","no_arm_gene_in_term",FALSE,10,0,0.158142665,1,NA,1,0.00250626566,NA,""
"GO:0034975","protein folding in endoplasmic reticulum","BP","configured id","below_min_gs_size",FALSE,9,0,0.142328398,1,NA,NA,NA,NA,""
"GO:0006515","protein quality control for misfolded or incompletely synthesized proteins","BP","configured id","no_arm_gene_in_term",FALSE,32,0,0.506056528,1,NA,1,0.0136752137,NA,""
"GO:0010498","proteasomal protein catabolic process","BP","configured id","above_max_gs_size",FALSE,575,7,9.09320323,0.810473577,NA,NA,NA,NA,"ASB2/CLU/DAB2/HSPA1A/IGF2BP2/OPHN1/PLK3"
"GO:0031649","heat generation","BP","configured id and name sweep","tested",TRUE,14,3,0.221399731,0.00124595631,0.0185625437,0.0114942529,0.028277635,TRUE,"IL1A/PTGS2/TNFSF11"
"GO:0001659","temperature homeostasis","BP","name sweep","tested",TRUE,143,8,2.26144011,0.00194842794,0.024570625,0.101449275,0.0967254408,TRUE,"EGR1/GATM/IGF2BP2/IL1A/KDM6B/NPR3/PTGS2/TNFSF11"
"GO:0034605","cellular response to heat","BP","configured id","tested",TRUE,54,3,0.85397039,0.0536635817,0.1961838,0.303848076,0.0483401281,FALSE,"ANO1/HSPA1A/IL1A"
"GO:0035966","response to topologically incorrect protein","BP","configured id","tested",TRUE,154,5,2.43539704,0.0974345931,0.279916617,0.435782109,0.0478589421,FALSE,"ATF3/CLU/CTH/HSPA1A/HSPH1"
"GO:0009408","response to heat","BP","configured id","tested",TRUE,82,3,1.29676985,0.14026967,0.346028908,0.514742629,0.0543420352,FALSE,"ANO1/HSPA1A/IL1A"
"GO:0009266","response to temperature stimulus","BP","configured id","tested",TRUE,130,4,2.05585464,0.150705554,0.351890152,0.589205397,0.054822335,FALSE,"ANO1/HSPA1A/IL1A/SCN9A"
"GO:0030968","endoplasmic reticulum unfolded protein response","BP","configured id","tested",TRUE,87,3,1.37584118,0.158928156,0.354077966,0.532233883,0.0470401691,FALSE,"ATF3/CTH/HSPA1A"
"GO:0006986","response to unfolded protein","BP","configured id","tested",TRUE,135,4,2.13492598,0.165703666,0.358910707,0.510744628,0.0315521628,FALSE,"ATF3/CTH/HSPA1A/HSPH1"
"GO:0042026","protein refolding","BP","configured id","tested",TRUE,23,1,0.363728129,0.307174603,0.454418668,0.432283858,0.00694444444,FALSE,"HSPA1A"
"GO:0006457","protein folding","BP","configured id","tested",TRUE,193,4,3.05215343,0.364602324,0.498018672,0.349325337,0.00209643606,FALSE,"CLU/HSPA1A/HSPH1/NPPC"
"GO:0034976","response to endoplasmic reticulum stress","BP","configured id","tested",TRUE,254,4,4.01682369,0.573509179,0.653691742,0.914542729,0.0625625626,FALSE,"ATF3/CLU/CTH/HSPA1A"
"GO:0044183","protein folding chaperone","MF","configured id","tested",TRUE,64,2,1.00310204,0.265370673,NA,NA,NA,FALSE,"HSPA1A/HSPH1"
"GO:0051082","unfolded protein binding","MF","configured id","tested",TRUE,97,2,1.52032653,0.450992818,NA,NA,NA,FALSE,"CLU/HSPA1A"
"GO:0031072","heat shock protein binding","MF","configured id","tested",TRUE,112,1,1.75542857,0.830933039,NA,NA,NA,FALSE,"HSPA1A"
"GO:0051087","protein-folding chaperone binding","MF","configured id","tested",TRUE,118,1,1.84946939,0.846360678,NA,NA,NA,FALSE,"CLU"
