"cluster_id","cluster_representative","n_terms","n_genes","best_p_adjust","n_terms_p_matched","frac_terms_p_matched","median_recurrence"
1,"blood vessel morphogenesis",56,81,3.51386249e-09,34,0.607142857,0.118122613
18,"positive regulation of cell development",31,70,0.00116665493,3,0.0967741935,0.226
2,"positive regulation of cell migration",29,36,1.5004246e-06,20,0.689655172,0.0803295572
6,"cytokine-mediated signaling pathway",29,77,2.0395241e-05,16,0.551724138,0.104680423
12,"leukocyte proliferation",23,50,0.000438689922,7,0.304347826,0.181681682
9,"positive regulation of cell activation",21,37,7.48043676e-05,4,0.19047619,0.3765
7,"response to wounding",19,48,3.74651045e-05,17,0.894736842,0.0573770492
11,"regulation of body fluid levels",15,36,0.000326939862,9,0.6,0.0525242223
3,"positive regulation of cytokine production",12,28,1.5004246e-06,9,0.75,0.0226686025
8,"tissue remodeling",12,55,4.43350332e-05,5,0.416666667,0.0968351703
16,"positive regulation of secretion by cell",12,39,0.00110278628,5,0.416666667,0.169330581
17,"regulation of system process",10,28,0.00114603895,8,0.8,0.0270371799
30,"positive regulation of miRNA transcription",9,15,0.0172372425,3,0.333333333,0.0594795539
13,"humoral immune response",8,26,0.000445570404,2,0.25,0.151278415
14,"positive regulation of cell growth",8,20,0.000846924741,2,0.25,0.147691699
15,"response to bacterium",8,25,0.000947414406,5,0.625,0.0736939254
20,"axonogenesis",8,20,0.00282363647,4,0.5,0.1935
10,"positive regulation of cell adhesion",7,27,0.000105513251,2,0.285714286,0.5305
19,"positive regulation of programmed cell death",7,25,0.00148903823,1,0.142857143,0.231
21,"regulation of lipid biosynthetic process",7,14,0.00344161916,6,0.857142857,0.0241545894
27,"positive regulation of myoblast fusion",7,4,0.0121689411,7,1,0.0161408657
24,"lipid export from cell",6,13,0.00691296623,5,0.833333333,0.0429446805
25,"response to steroid hormone",6,35,0.00745193618,1,0.166666667,0.0636626779
5,"positive regulation of locomotion",5,37,2.35044383e-06,4,0.8,0.0172744722
22,"acute inflammatory response",5,17,0.00375328654,3,0.6,0.0494252874
4,"chemotaxis",4,23,1.5004246e-06,2,0.5,0.241208417
26,"response to hypoxia",3,12,0.0117678461,0,0,0.246
31,"positive regulation of phosphorylation",3,13,0.0243707654,0,0,0.21743487
23,"olefinic compound biosynthetic process",2,8,0.00485542615,2,1,0.0192787352
28,"multi-organism reproductive process",2,9,0.0123357526,2,1,0.05636146
29,"regulation of humoral immune response",2,4,0.0166419851,2,1,0.0235285707
32,"negative regulation of mitochondrial membrane permeability",2,3,0.0251034674,2,1,0.0236211901
34,"regulation of ketone biosynthetic process",2,4,0.0309886205,2,1,0.014901345
36,"podosome assembly",2,9,0.0346349097,1,0.5,0.0347271673
33,"transforming growth factor beta receptor superfamily signaling pathway",1,11,0.0263706682,0,0,0.209104552
35,"positive regulation of molecular function",1,15,0.0332906573,0,0,0.28
