"arm","variant","drawn_row","category","collection","share_fractional","share_winner_take_all","n_genes_fractional","n_genes_winner_take_all","n_sets_rolled_up"
"WT_heat_up","unpinned","not claimed by any selected set","not claimed by any selected set","not claimed by any selected set",0.371859296,0.371859296,74,74,NA
"WT_heat_up","unpinned","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.0437107979,0.135678392,35,27,NA
"WT_heat_up","unpinned","GOMF_CYTOKINE_ACTIVITY","GOMF_CYTOKINE_ACTIVITY","GO_MF",0.0293096072,0.135678392,27,27,NA
"WT_heat_up","unpinned","GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE","GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE","GO_BP",0.0397124511,0.0301507538,23,6,NA
"WT_heat_up","unpinned","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","Hallmark",0.0358100024,0.0201005025,14,4,NA
"WT_heat_up","unpinned","GOMF_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY","GOMF_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY","GO_MF",0.0335845896,0.0251256281,13,5,NA
"WT_heat_up","unpinned","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","Hallmark",0.0241109951,0.0301507538,21,6,NA
"WT_heat_up","unpinned","HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","Hallmark",0.0289562894,0.0150753769,15,3,NA
"WT_heat_up","unpinned","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","Hallmark",0.0277339076,0.0201005025,18,4,NA
"WT_heat_up","unpinned","GOBP_TAXIS","GOBP_TAXIS","GO_BP",0.0230301943,0.0251256281,23,5,NA
"WT_heat_up","unpinned","GOMF_CALCIUM_DEPENDENT_PHOSPHOLIPID_BINDING","GOMF_CALCIUM_DEPENDENT_PHOSPHOLIPID_BINDING","GO_MF",0.0198911223,0.0251256281,6,5,NA
"WT_heat_up","unpinned","30 further selected sets","__rollup__","further selected sets",0.322290747,0.165829146,NA,NA,30
"KO_heat_up","unpinned","not claimed by any selected set","not claimed by any selected set","not claimed by any selected set",0.435779817,0.435779817,95,95,NA
"KO_heat_up","unpinned","GOMF_CYTOKINE_ACTIVITY","GOMF_CYTOKINE_ACTIVITY","GO_MF",0.027093345,0.123853211,27,27,NA
"KO_heat_up","unpinned","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.0443372122,0.114678899,33,25,NA
"KO_heat_up","unpinned","GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE","GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE","GO_BP",0.0430575413,0.0321100917,24,7,NA
"KO_heat_up","unpinned","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","Hallmark",0.0391874181,0.0275229358,16,6,NA
"KO_heat_up","unpinned","GOBP_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY","GOBP_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY","GO_BP",0.0181574924,0.0321100917,11,7,NA
"KO_heat_up","unpinned","HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","Hallmark",0.0311637012,0.0183486239,19,4,NA
"KO_heat_up","unpinned","GOBP_TAXIS","GOBP_TAXIS","GO_BP",0.0235621285,0.0275229358,24,6,NA
"KO_heat_up","unpinned","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","Hallmark",0.0217400082,0.0275229358,21,6,NA
"KO_heat_up","unpinned","GOBP_TISSUE_REMODELING","GOBP_TISSUE_REMODELING","GO_BP",0.0271534149,0.0229357798,15,5,NA
"KO_heat_up","unpinned","REACTOME_SIGNALING_BY_INTERLEUKINS","REACTOME_SIGNALING_BY_INTERLEUKINS","Reactome",0.023871414,0.00917431193,21,2,NA
"KO_heat_up","unpinned","25 further selected sets","__rollup__","further selected sets",0.264896508,0.128440367,NA,NA,25
"Interaction_fdrOnly_up","unpinned","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","Hallmark",0.235868607,0.555555556,10,10,NA
"Interaction_fdrOnly_up","unpinned","GOBP_RESPONSE_TO_VIRUS","GOBP_RESPONSE_TO_VIRUS","GO_BP",0.131238977,0.222222222,11,4,NA
"Interaction_fdrOnly_up","unpinned","REACTOME_INTERFERON_SIGNALING","REACTOME_INTERFERON_SIGNALING","Reactome",0.126609347,0.0555555556,8,1,NA
"Interaction_fdrOnly_up","unpinned","not claimed by any selected set","not claimed by any selected set","not claimed by any selected set",0.111111111,0.111111111,2,2,NA
"Interaction_fdrOnly_up","unpinned","GOBP_REGULATION_OF_VIRAL_PROCESS","GOBP_REGULATION_OF_VIRAL_PROCESS","GO_BP",0.0779982363,0.0555555556,7,1,NA
"Interaction_fdrOnly_up","unpinned","REACTOME_INTERFERON_GAMMA_SIGNALING","REACTOME_INTERFERON_GAMMA_SIGNALING","Reactome",0.0458333333,0,4,0,NA
"Interaction_fdrOnly_up","unpinned","GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE","GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE","GO_BP",0.0418871252,0,4,0,NA
"Interaction_fdrOnly_up","unpinned","GOBP_RESPONSE_TO_TYPE_I_INTERFERON","GOBP_RESPONSE_TO_TYPE_I_INTERFERON","GO_BP",0.0371031746,0,4,0,NA
