"arm","collection","null","not_tested_reason","n_replicates","n_query_annotated","n_terms_testable","median_n_signif","q95_n_signif","n_observed_signif","median_covered","q95_covered","covered_obs","p_covered","max_genes_borrowed"
"WT_heat_up","Hallmark","depth_matched",NA,2000,102,50,1,4,10,13,39,81,0.000499750125,0
"WT_heat_up","GO_BP","depth_matched",NA,2000,183,4449,59,144.05,206,102,128,151,0.000499750125,0
"WT_heat_up","GO_MF","depth_matched",NA,2000,176,928,0,0,16,0,0,64,0.000499750125,0
"WT_heat_up","KEGG","depth_matched",NA,2000,82,177,0,2,6,0,9,30,0.000499750125,0
"WT_heat_up","Reactome","depth_matched",NA,2000,151,1295,0,0,30,0,0,68,0.000499750125,0
"KO_heat_up","Hallmark","depth_matched",NA,2000,109,50,1,4,10,9,37,80,0.000499750125,0
"KO_heat_up","GO_BP","depth_matched",NA,2000,198,4449,12,61,170,55,104,150,0.000499750125,0
"KO_heat_up","GO_MF","depth_matched",NA,2000,187,928,0,0,11,0,0,44,0.000499750125,0
"KO_heat_up","KEGG","depth_matched",NA,2000,89,177,0,4,4,0,20,34,0.00099950025,0
"KO_heat_up","Reactome","depth_matched",NA,2000,159,1295,0,0,17,0,0,67,0.000499750125,0
"Interaction_up","Hallmark","depth_matched",NA,2000,5,50,0,1,3,0,3,5,0.00299850075,0
"Interaction_up","GO_BP","depth_matched",NA,2000,7,4449,0,5,40,0,3,7,0.00149925037,0
"Interaction_up","GO_MF","depth_matched",NA,2000,5,928,0,7,1,0,4,2,0.431284358,0
"Interaction_up","Reactome","depth_matched",NA,2000,5,1295,0,12,11,0,4,5,0.0209895052,0
"Interaction_fdrOnly_up","Hallmark","depth_matched",NA,2000,12,50,0,1,3,0,4,12,0.000499750125,0
"Interaction_fdrOnly_up","GO_BP","depth_matched",NA,2000,16,4449,0,6,53,0,5,14,0.000499750125,0
"Interaction_fdrOnly_up","GO_MF","depth_matched",NA,2000,14,928,0,2,0,0,2,0,1,0
"Interaction_fdrOnly_up","KEGG","depth_matched",NA,2000,2,177,1,4,3,1,2,2,0.35982009,0
"Interaction_fdrOnly_up","Reactome","depth_matched",NA,2000,14,1295,0,1,3,0,2,8,0.000499750125,0
"Interaction_up","KEGG","not_tested","only 1 arm gene(s) annotated in this collection, need 2",NA,1,177,NA,NA,NA,NA,NA,NA,NA,NA
