"ID","collection","share_fractional_unpinned","share_winner_take_all_unpinned","share_fractional_anchored","share_winner_take_all_anchored","arm","pinned","status","n_arm_hits","delta_fractional","delta_winner_take_all"
"GOBP_RESPONSE_TO_OXYGEN_LEVELS","GO_BP",0,0,0.0173426657,0.00502512563,"WT_heat_up",TRUE,"tested, not enriched",11,0.0173426657,0.00502512563
"not claimed by any selected set","not claimed by any selected set",0.371859296,0.371859296,0.366834171,0.366834171,"WT_heat_up",FALSE,NA,NA,-0.00502512563,-0.00502512563
"HALLMARK_HYPOXIA","Hallmark",0.0277339076,0.0201005025,0.0231275425,0.0201005025,"WT_heat_up",TRUE,"tested, enriched",18,-0.00460636516,0
"GOBP_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS","GO_BP",0,0,0.00364321608,0,"WT_heat_up",TRUE,"tested, not enriched",4,0.00364321608,0
"GOMF_HORMONE_ACTIVITY","GO_MF",0.00917085427,0.00502512563,0.00653266332,0.00502512563,"WT_heat_up",FALSE,NA,NA,-0.00263819095,0
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.0437107979,0.135678392,0.0421195081,0.135678392,"WT_heat_up",FALSE,NA,NA,-0.00159128978,0
"GOMF_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY","GO_MF",0.0335845896,0.0251256281,0.0323283082,0.0251256281,"WT_heat_up",FALSE,NA,NA,-0.00125628141,0
"HALLMARK_IL2_STAT5_SIGNALING","Hallmark",0.0358100024,0.0201005025,0.0349724815,0.0201005025,"WT_heat_up",FALSE,NA,NA,-0.000837520938,0
"HALLMARK_KRAS_SIGNALING_UP","Hallmark",0.0247509191,0.0150753769,0.0239971503,0.0150753769,"WT_heat_up",FALSE,NA,NA,-0.000753768844,0
"GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE","GO_BP",0.0397124511,0.0301507538,0.0389646646,0.0301507538,"WT_heat_up",FALSE,NA,NA,-0.000747786552,0
"REACTOME_NGF_STIMULATED_TRANSCRIPTION","Reactome",0.0145369706,0.0100502513,0.0141182101,0.0100502513,"WT_heat_up",FALSE,NA,NA,-0.000418760469,0
"GOMF_NUCLEAR_GLUCOCORTICOID_RECEPTOR_BINDING","GO_MF",0.00368509213,0,0.00326633166,0,"WT_heat_up",FALSE,NA,NA,-0.000418760469,0
"GOBP_EOSINOPHIL_MIGRATION","GO_BP",0.00271813614,0,0.00229937567,0,"WT_heat_up",FALSE,NA,NA,-0.000418760469,0
"GOBP_TAXIS","GO_BP",0.0230301943,0.0251256281,0.0226114338,0.0251256281,"WT_heat_up",FALSE,NA,NA,-0.000418760469,0
