"gene","ID","collection","p_matched","p.adjust","pvalue","fold_enrichment","enriched","n_sets_for_gene","weight_fractional","winner_id","is_winner","arm","variant"
"AREG","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.000499750124937531,3.51694792565474e-19,7.99306346739715e-21,6.5750102124183,TRUE,6,0.166666666666667,"GOMF_CYTOKINE_ACTIVITY",FALSE,"WT_heat_up","unpinned"
"ATF3","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.000499750124937531,3.51694792565474e-19,7.99306346739715e-21,6.5750102124183,TRUE,4,0.25,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",TRUE,"WT_heat_up","unpinned"
"CCL20","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.000499750124937531,3.51694792565474e-19,7.99306346739715e-21,6.5750102124183,TRUE,10,0.1,"GOMF_CYTOKINE_ACTIVITY",FALSE,"WT_heat_up","unpinned"
"CCL4","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.000499750124937531,3.51694792565474e-19,7.99306346739715e-21,6.5750102124183,TRUE,9,0.111111111111111,"GOMF_CYTOKINE_ACTIVITY",FALSE,"WT_heat_up","unpinned"
"CCN1","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.000499750124937531,3.51694792565474e-19,7.99306346739715e-21,6.5750102124183,TRUE,4,0.25,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",TRUE,"WT_heat_up","unpinned"
"CD80","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.000499750124937531,3.51694792565474e-19,7.99306346739715e-21,6.5750102124183,TRUE,5,0.2,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",TRUE,"WT_heat_up","unpinned"
"CD83","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.000499750124937531,3.51694792565474e-19,7.99306346739715e-21,6.5750102124183,TRUE,2,0.5,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",TRUE,"WT_heat_up","unpinned"
"CDKN1A","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.000499750124937531,3.51694792565474e-19,7.99306346739715e-21,6.5750102124183,TRUE,7,0.142857142857143,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",TRUE,"WT_heat_up","unpinned"
"CSF2","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.000499750124937531,3.51694792565474e-19,7.99306346739715e-21,6.5750102124183,TRUE,7,0.142857142857143,"GOMF_CYTOKINE_ACTIVITY",FALSE,"WT_heat_up","unpinned"
"EGR1","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.000499750124937531,3.51694792565474e-19,7.99306346739715e-21,6.5750102124183,TRUE,3,0.333333333333333,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",TRUE,"WT_heat_up","unpinned"
"EGR2","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.000499750124937531,3.51694792565474e-19,7.99306346739715e-21,6.5750102124183,TRUE,3,0.333333333333333,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",TRUE,"WT_heat_up","unpinned"
"EGR3","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.000499750124937531,3.51694792565474e-19,7.99306346739715e-21,6.5750102124183,TRUE,4,0.25,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",TRUE,"WT_heat_up","unpinned"
"F3","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.000499750124937531,3.51694792565474e-19,7.99306346739715e-21,6.5750102124183,TRUE,8,0.125,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",TRUE,"WT_heat_up","unpinned"
"FOSL1","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.000499750124937531,3.51694792565474e-19,7.99306346739715e-21,6.5750102124183,TRUE,3,0.333333333333333,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",TRUE,"WT_heat_up","unpinned"
"FOSL2","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.000499750124937531,3.51694792565474e-19,7.99306346739715e-21,6.5750102124183,TRUE,4,0.25,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",TRUE,"WT_heat_up","unpinned"
"GFPT2","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.000499750124937531,3.51694792565474e-19,7.99306346739715e-21,6.5750102124183,TRUE,2,0.5,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",TRUE,"WT_heat_up","unpinned"
"GPR183","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.000499750124937531,3.51694792565474e-19,7.99306346739715e-21,6.5750102124183,TRUE,4,0.25,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",TRUE,"WT_heat_up","unpinned"
"HBEGF","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.000499750124937531,3.51694792565474e-19,7.99306346739715e-21,6.5750102124183,TRUE,9,0.111111111111111,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",TRUE,"WT_heat_up","unpinned"
"IER3","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.000499750124937531,3.51694792565474e-19,7.99306346739715e-21,6.5750102124183,TRUE,4,0.25,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",TRUE,"WT_heat_up","unpinned"
"IL1A","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.000499750124937531,3.51694792565474e-19,7.99306346739715e-21,6.5750102124183,TRUE,11,0.0909090909090909,"GOMF_CYTOKINE_ACTIVITY",FALSE,"WT_heat_up","unpinned"
"IL23A","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.000499750124937531,3.51694792565474e-19,7.99306346739715e-21,6.5750102124183,TRUE,7,0.142857142857143,"GOMF_CYTOKINE_ACTIVITY",FALSE,"WT_heat_up","unpinned"
"INHBA","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.000499750124937531,3.51694792565474e-19,7.99306346739715e-21,6.5750102124183,TRUE,7,0.142857142857143,"GOMF_CYTOKINE_ACTIVITY",FALSE,"WT_heat_up","unpinned"
"KDM6B","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.000499750124937531,3.51694792565474e-19,7.99306346739715e-21,6.5750102124183,TRUE,1,1,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",TRUE,"WT_heat_up","unpinned"
"NR4A1","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.000499750124937531,3.51694792565474e-19,7.99306346739715e-21,6.5750102124183,TRUE,5,0.2,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",TRUE,"WT_heat_up","unpinned"
"NR4A2","HALLMARK_TNFA_SIGNALING_VIA_NFKB","Hallmark",0.000499750124937531,3.51694792565474e-19,7.99306346739715e-21,6.5750102124183,TRUE,3,0.333333333333333,"HALLMARK_TNFA_SIGNALING_VIA_NFKB",TRUE,"WT_heat_up","unpinned"
