"null","n_replicates","mean_family_size","median_n_signif","q95_n_signif","n_observed_signif","median_covered","q95_covered","covered_obs","p_covered","max_genes_borrowed","arm","collection","n_query_annotated","n_terms_testable","not_tested_reason"
"depth_matched",2000,47.379,1,4,10,13,39,81,0.000499750124937531,0,"WT_heat_up","Hallmark",102,50,NA
"uniform",2000,45.3025,0,0,10,0,0,81,0.000499750124937531,0,"WT_heat_up","Hallmark",102,50,NA
"depth_matched",2000,2776.179,59,144.05,206,102,128,151,0.000499750124937531,0,"WT_heat_up","GO_BP",183,4449,NA
"uniform",2000,2051.2855,0,0,206,0,0,151,0.000499750124937531,0,"WT_heat_up","GO_BP",183,4449,NA
"depth_matched",2000,419.54,0,0,16,0,0,64,0.000499750124937531,0,"WT_heat_up","GO_MF",176,928,NA
"uniform",2000,409.2595,0,0,16,0,0,64,0.000499750124937531,0,"WT_heat_up","GO_MF",176,928,NA
"depth_matched",2000,117.3725,0,2,6,0,9,30,0.000499750124937531,0,"WT_heat_up","KEGG",82,177,NA
"uniform",2000,106.8155,0,0,6,0,0,30,0.000499750124937531,0,"WT_heat_up","KEGG",82,177,NA
"depth_matched",2000,578.88,0,0,30,0,0,68,0.000499750124937531,0,"WT_heat_up","Reactome",151,1295,NA
"uniform",2000,629.492,0,0,30,0,0,68,0.000499750124937531,0,"WT_heat_up","Reactome",151,1295,NA
"depth_matched",2000,47.641,1,4,10,9,37,80,0.000499750124937531,0,"KO_heat_up","Hallmark",109,50,NA
"uniform",2000,45.7445,0,0,10,0,0,80,0.000499750124937531,0,"KO_heat_up","Hallmark",109,50,NA
"depth_matched",2000,2747.5205,12,61,170,55,104,150,0.000499750124937531,0,"KO_heat_up","GO_BP",198,4449,NA
"uniform",2000,2142.813,0,0,170,0,0,150,0.000499750124937531,0,"KO_heat_up","GO_BP",198,4449,NA
"depth_matched",2000,427.5525,0,0,11,0,0,44,0.000499750124937531,0,"KO_heat_up","GO_MF",187,928,NA
"uniform",2000,423.4875,0,0,11,0,0,44,0.000499750124937531,0,"KO_heat_up","GO_MF",187,928,NA
"depth_matched",2000,125.4785,0,4,4,0,20,34,0.000999500249875062,0,"KO_heat_up","KEGG",89,177,NA
"uniform",2000,111.152,0,0,4,0,0,34,0.000499750124937531,0,"KO_heat_up","KEGG",89,177,NA
"depth_matched",2000,577.385,0,0,17,0,0,67,0.000499750124937531,0,"KO_heat_up","Reactome",159,1295,NA
"uniform",2000,648.2655,0,0,17,0,0,67,0.000499750124937531,0,"KO_heat_up","Reactome",159,1295,NA
"depth_matched",2000,11.573,0,1,3,0,3,5,0.00299850074962519,0,"Interaction_up","Hallmark",5,50,NA
"uniform",2000,7.8705,0,1,3,0,2,5,0.00249875062468766,0,"Interaction_up","Hallmark",5,50,NA
"depth_matched",2000,174.092,0,5,40,0,3,7,0.00149925037481259,0,"Interaction_up","GO_BP",7,4449,NA
"uniform",2000,154.0435,0,5,40,0,3,7,0.00249875062468766,0,"Interaction_up","GO_BP",7,4449,NA
"depth_matched",2000,10.388,0,7,1,0,4,2,0.431284357821089,0,"Interaction_up","GO_MF",5,928,NA
"uniform",2000,22.179,0,15,1,0,5,2,0.466266866566717,0,"Interaction_up","GO_MF",5,928,NA
"depth_matched",2000,28.6535,0,12,11,0,4,5,0.0209895052473763,0,"Interaction_up","Reactome",5,1295,NA
"uniform",2000,39.254,0,14,11,0,4,5,0.0379810094952524,0,"Interaction_up","Reactome",5,1295,NA
"depth_matched",2000,20.4815,0,1,3,0,4,12,0.000499750124937531,0,"Interaction_fdrOnly_up","Hallmark",12,50,NA
"uniform",2000,16.7285,0,1,3,0,3,12,0.000499750124937531,0,"Interaction_fdrOnly_up","Hallmark",12,50,NA
"depth_matched",2000,486.342,0,6,53,0,5,14,0.000499750124937531,0,"Interaction_fdrOnly_up","GO_BP",16,4449,NA
"uniform",2000,342.224,0,3,53,0,4,14,0.000499750124937531,0,"Interaction_fdrOnly_up","GO_BP",16,4449,NA
"depth_matched",2000,46.3725,0,2,0,0,2,0,1,0,"Interaction_fdrOnly_up","GO_MF",14,928,NA
"uniform",2000,59.361,0,2,0,0,3,0,1,0,"Interaction_fdrOnly_up","GO_MF",14,928,NA
"depth_matched",2000,3.943,1,4,3,1,2,2,0.359820089955023,0,"Interaction_fdrOnly_up","KEGG",2,177,NA
"uniform",2000,5.216,1,5,3,1,2,2,0.349825087456272,0,"Interaction_fdrOnly_up","KEGG",2,177,NA
"depth_matched",2000,76.107,0,1,3,0,2,8,0.000499750124937531,0,"Interaction_fdrOnly_up","Reactome",14,1295,NA
"uniform",2000,104.06,0,2,3,0,3,8,0.00499750124937531,0,"Interaction_fdrOnly_up","Reactome",14,1295,NA
"not_tested",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Interaction_up","KEGG",1,177,"only 1 arm gene(s) annotated in this collection, need 2"
