"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","arm","collection","n_query_in_background","hit_genes","n_hits","size_tested","k_null_matched_mean","p_matched","frac_matched_reaching_q","p_uniform"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_TNFA_SIGNALING_VIA_NFKB","35/102","191/3666",0.183246073298429,6.58607945796119,13.412650736945,7.46326544274591e-21,3.2838367948082e-19,2.51394204387231e-19,"AREG/ATF3/CCL20/CCL4/CCN1/CD80/CD83/CDKN1A/CSF2/EGR1/EGR2/EGR3/F3/FOSL1/FOSL2/GFPT2/GPR183/HBEGF/IER3/IL1A/IL23A/INHBA/KDM6B/NR4A1/NR4A2/NR4A3/OLR1/PLAUR/PLEK/PLK2/PTGS2/SDC4/SERPINE1/SPHK1/TNFSF9",35,"WT_heat_up","Hallmark",199,"AREG/ATF3/CCL20/CCL4/CCN1/CD80/CD83/CDKN1A/CSF2/EGR1/EGR2/EGR3/F3/FOSL1/FOSL2/GFPT2/GPR183/HBEGF/IER3/IL1A/IL23A/INHBA/KDM6B/NR4A1/NR4A2/NR4A3/OLR1/PLAUR/PLEK/PLK2/PTGS2/SDC4/SERPINE1/SPHK1/TNFSF9",35,191,9.596,0.000499750124937531,0.099,0.000499750124937531
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE","21/102","166/3666",0.126506024096386,4.54677533664068,7.91082776922878,2.32052113280623e-09,5.1051464921737e-08,3.90824611841049e-08,"ADM/ADORA2B/CCL20/CCL22/CD70/CDKN1A/F3/GPR183/HBEGF/IL1A/INHBA/LTA/OLR1/PLAUR/PTGER2/RGS16/SERPINE1/SGMS2/SPHK1/TIMP1/TNFSF9",21,"WT_heat_up","Hallmark",199,"ADM/ADORA2B/CCL20/CCL22/CD70/CDKN1A/F3/GPR183/HBEGF/IL1A/INHBA/LTA/OLR1/PLAUR/PTGER2/RGS16/SERPINE1/SGMS2/SPHK1/TIMP1/TNFSF9",21,166,7.6195,0.000499750124937531,0.0570285142571286,0.000499750124937531
"HALLMARK_HYPOXIA","HALLMARK_HYPOXIA","18/102","171/3666",0.105263157894737,3.78328173374613,6.30521445092493,6.6532330594798e-07,9.75807515390371e-06,7.47029676853873e-06,"ADM/ADORA2B/AK4/ANXA2/ATF3/CCN1/CDKN1A/EGFR/F3/FOSL2/HK2/IER3/P4HA2/PDGFB/PLAUR/SDC4/SERPINE1/TGM2",18,"WT_heat_up","Hallmark",199,"ADM/ADORA2B/AK4/ANXA2/ATF3/CCN1/CDKN1A/EGFR/F3/FOSL2/HK2/IER3/P4HA2/PDGFB/PLAUR/SDC4/SERPINE1/TGM2",18,171,8.276,0.000999500249875062,0.079,0.000499750124937531
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","14/102","142/3666",0.0985915492957746,3.54349627174814,5.2290832414141,2.85072197004896e-05,0.000313579416705385,0.000240060797477807,"APLP1/AREG/CCN1/DAB2/INHBA/LAMC2/PLAUR/SDC1/SDC4/SERPINE1/SPP1/TGM2/TIMP1/TNFRSF11B",14,"WT_heat_up","Hallmark",199,"APLP1/AREG/CCN1/DAB2/INHBA/LAMC2/PLAUR/SDC1/SDC4/SERPINE1/SPP1/TGM2/TIMP1/TNFRSF11B",14,142,5.7545,0.00149925037481259,0.0180451127819549,0.000499750124937531
"HALLMARK_P53_PATHWAY","HALLMARK_P53_PATHWAY","15/102","187/3666",0.0802139037433155,2.88298206983328,4.47103429542205,0.000162002841046676,0.00142562500121075,0.0010913875607355,"ATF3/CDKN1A/EPHA2/HBEGF/IER3/IL1A/PLK2/PLK3/PLXNB2/PROCR/RGS16/SDC1/SPHK1/TNFSF9/UPP1",15,"WT_heat_up","Hallmark",199,"ATF3/CDKN1A/EPHA2/HBEGF/IER3/IL1A/PLK2/PLK3/PLXNB2/PROCR/RGS16/SDC1/SPHK1/TNFSF9/UPP1",15,187,7.366,0.00449775112443778,0.0225,0.000499750124937531
"HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_UP","13/102","161/3666",0.0807453416149068,2.9020825721593,4.17509652910345,0.000431522446170095,0.0031644979385807,0.00242258215393738,"ADAM8/ALDH1A2/ANO1/CCL20/CSF2/GFPT2/HBEGF/INHBA/PLAUR/PLEK2/PTGS2/RGS16/SPP1",13,"WT_heat_up","Hallmark",199,"ADAM8/ALDH1A2/ANO1/CCL20/CSF2/GFPT2/HBEGF/INHBA/PLAUR/PLEK2/PTGS2/RGS16/SPP1",13,161,5.7545,0.00549725137431284,0.00852130325814536,0.00199900049975012
"HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL2_STAT5_SIGNALING","14/102","197/3666",0.0710659898477157,2.55419528217378,3.79319157386585,0.000941431830470797,0.00591757150581644,0.00453019828196474,"APLP1/BATF3/CD83/CSF2/EOMES/FAH/HK2/IRF6/PTGER2/RGS16/SCN9A/SPP1/TGM2/TNFSF11",14,"WT_heat_up","Hallmark",199,"APLP1/BATF3/CD83/CSF2/EOMES/FAH/HK2/IRF6/PTGER2/RGS16/SCN9A/SPP1/TGM2/TNFSF11",14,197,8.4225,0.0299850074962519,0.0465,0.00149925037481259
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT","12/102","162/3666",0.0740740740740741,2.66230936819172,3.66062750554205,0.00155981134649944,0.00857896240574693,0.00656762672210291,"C3/CD40LG/CLU/CPM/F3/HSPA1A/OLR1/PDGFB/PLAUR/PLEK/SERPINE1/TIMP1",12,"WT_heat_up","Hallmark",199,"C3/CD40LG/CLU/CPM/F3/HSPA1A/OLR1/PDGFB/PLAUR/PLEK/SERPINE1/TIMP1",12,162,6.19,0.0189905047476262,0.0190285428142213,0.00249875062468766
"HALLMARK_APOPTOSIS","HALLMARK_APOPTOSIS","11/102","151/3666",0.0728476821192053,2.61823139851967,3.43506263327159,0.00281063828339948,0.0137408982743975,0.0105193479612612,"ATF3/AVPR1A/CDKN1A/CLU/CTH/EGR3/FASLG/IER3/IL1A/PAK1/TIMP1",11,"WT_heat_up","Hallmark",199,"ATF3/AVPR1A/CDKN1A/CLU/CTH/EGR3/FASLG/IER3/IL1A/PAK1/TIMP1",11,151,8.6225,0.229885057471264,0.1635,0.00349825087456272
"HALLMARK_COAGULATION","HALLMARK_COAGULATION","8/102","95/3666",0.0842105263157895,3.0266253869969,3.38538904006207,0.00448182786456462,0.0197200426040843,0.0150966833332703,"C3/CLU/F3/OLR1/PDGFB/PLEK/SERPINE1/TIMP1",8,"WT_heat_up","Hallmark",199,"C3/CLU/F3/OLR1/PDGFB/PLEK/SERPINE1/TIMP1",8,95,3.402,0.0144927536231884,0.00617601646937725,0.00299850074962519
