"arm","collection","ID","Count","p.adjust","p_matched","frac_matched_reaching_q","size_tested","enriched","pinned","fails_p_matched","fails_recurrence","pruned_by","pruned_hit_jaccard","rank_in_collection","selected","variant"
"WT_heat_up","Hallmark","HALLMARK_TNFA_SIGNALING_VIA_NFKB",35,3.51694792565474e-19,0.000499750124937531,0.1035,192,TRUE,FALSE,FALSE,FALSE,NA,NA,1,TRUE,"unpinned"
"WT_heat_up","Hallmark","HALLMARK_INFLAMMATORY_RESPONSE",21,4.79332786991005e-08,0.000499750124937531,0.0545272636318159,166,TRUE,FALSE,FALSE,FALSE,NA,NA,2,TRUE,"unpinned"
"WT_heat_up","Hallmark","HALLMARK_HYPOXIA",18,1.01210827551184e-05,0.000499750124937531,0.077,172,TRUE,FALSE,FALSE,FALSE,NA,NA,3,TRUE,"unpinned"
"WT_heat_up","Hallmark","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",14,0.000301577192238617,0.000499750124937531,0.0195195195195195,142,TRUE,FALSE,FALSE,FALSE,NA,NA,4,TRUE,"unpinned"
"WT_heat_up","Hallmark","HALLMARK_P53_PATHWAY",15,0.00145612450757253,0.00499750124937531,0.0200100050025013,188,TRUE,FALSE,FALSE,FALSE,NA,NA,6,TRUE,"unpinned"
"WT_heat_up","Hallmark","HALLMARK_KRAS_SIGNALING_UP",13,0.00325025329971556,0.00199900049975012,0.00701051577366049,162,TRUE,FALSE,FALSE,FALSE,NA,NA,5,TRUE,"unpinned"
"WT_heat_up","Hallmark","HALLMARK_IL2_STAT5_SIGNALING",14,0.0060117022787534,0.0289855072463768,0.0375,198,TRUE,FALSE,FALSE,FALSE,NA,NA,8,TRUE,"unpinned"
"WT_heat_up","Hallmark","HALLMARK_COMPLEMENT",12,0.00832503284040014,0.0184907546226887,0.0175262894341512,162,TRUE,FALSE,FALSE,FALSE,"HALLMARK_COAGULATION",0.666666666666667,NA,FALSE,"unpinned"
"WT_heat_up","Hallmark","HALLMARK_APOPTOSIS",11,0.0133701637984732,0.200899550224888,0.1465,151,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"unpinned"
"WT_heat_up","Hallmark","HALLMARK_COAGULATION",8,0.0193060234492291,0.0149925037481259,0.00616649537512847,95,TRUE,FALSE,FALSE,FALSE,NA,NA,7,TRUE,"unpinned"
"WT_heat_up","GO_BP","GOBP_TAXIS",23,1.50928341624917e-05,0.000499750124937531,0.1025,335,TRUE,FALSE,FALSE,FALSE,NA,NA,1,TRUE,"unpinned"
"WT_heat_up","GO_BP","GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE",23,1.50928341624917e-05,0.00149925037481259,0.121,342,TRUE,FALSE,FALSE,FALSE,NA,NA,10,TRUE,"unpinned"
"WT_heat_up","GO_BP","GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT",18,4.45951590971985e-05,0.000499750124937531,0.0600300150075038,230,TRUE,FALSE,FALSE,FALSE,NA,NA,2,TRUE,"unpinned"
"WT_heat_up","GO_BP","GOBP_CELL_CHEMOTAXIS",17,0.000196318462817633,0.000999500249875062,0.069,233,TRUE,FALSE,FALSE,FALSE,"GOBP_TAXIS",0.739130434782609,NA,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_TISSUE_REMODELING",13,0.000196318462817633,0.000999500249875062,0.0487682252388135,135,TRUE,FALSE,FALSE,FALSE,NA,NA,6,TRUE,"unpinned"
"WT_heat_up","GO_BP","GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION",20,0.000235986185094028,0.00899550224887556,0.277,328,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY",19,0.000581917557966727,0.00549725137431284,0.1135,321,TRUE,FALSE,FALSE,FALSE,"GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",0.631578947368421,NA,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY",8,0.000581917557966727,0.000499750124937531,0.00206753962784287,51,TRUE,FALSE,FALSE,FALSE,NA,NA,3,TRUE,"unpinned"
"WT_heat_up","GO_BP","GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",12,0.000656899129331231,0.00299850074962519,0.0408472012102874,134,TRUE,FALSE,FALSE,FALSE,NA,NA,20,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE",12,0.000656899129331231,0.00149925037481259,0.0353178607467205,135,TRUE,FALSE,FALSE,FALSE,"GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE",0.521739130434783,NA,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION",21,0.000659346727046919,0.0279860069965017,0.301,397,TRUE,FALSE,FALSE,TRUE,NA,NA,NA,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_LEUKOCYTE_PROLIFERATION",17,0.000806073558888397,0.015992003998001,0.186,277,TRUE,FALSE,FALSE,FALSE,NA,NA,55,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_WOUND_HEALING",19,0.000882831930514725,0.00949525237381309,0.1105,343,TRUE,FALSE,FALSE,FALSE,NA,NA,45,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS",18,0.00105437928697504,0.0119940029985007,0.1125,317,TRUE,FALSE,FALSE,FALSE,NA,NA,49,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_REGULATION_OF_BODY_FLUID_LEVELS",17,0.00108657740005165,0.00249875062468766,0.0495,288,TRUE,FALSE,FALSE,FALSE,NA,NA,18,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_HUMORAL_IMMUNE_RESPONSE",12,0.00119837584077491,0.00199900049975012,0.0137544574630667,150,TRUE,FALSE,FALSE,FALSE,"GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE",0.583333333333333,NA,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",14,0.00119837584077491,0.00649675162418791,0.0620620620620621,204,TRUE,FALSE,FALSE,FALSE,"GOBP_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",0.857142857142857,NA,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_POSITIVE_REGULATION_OF_CELL_GROWTH",11,0.00155573188349498,0.000499750124937531,0.0208227526663281,130,TRUE,FALSE,FALSE,FALSE,NA,NA,4,TRUE,"unpinned"
"WT_heat_up","GO_BP","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION",16,0.00164033412089476,0.0324837581209395,0.1985,272,TRUE,FALSE,FALSE,FALSE,NA,NA,72,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_NEGATIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT",9,0.00164033412089476,0.00199900049975012,0.0122470713525027,86,TRUE,FALSE,FALSE,FALSE,NA,NA,13,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY",9,0.00181759702049258,0.000999500249875062,0.00671516508114158,88,TRUE,FALSE,FALSE,FALSE,NA,NA,7,TRUE,"unpinned"
"WT_heat_up","GO_BP","GOBP_MESODERM_MORPHOGENESIS",7,0.00181759702049258,0.00349825087456272,0.0150511739915713,49,TRUE,FALSE,FALSE,FALSE,NA,NA,23,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_POSITIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",7,0.00199341535555395,0.00249875062468766,0.016969696969697,50,TRUE,FALSE,FALSE,FALSE,"REACTOME_TNF_RECEPTOR_SUPERFAMILY_TNFSF_MEMBERS_MEDIATING_NON_CANONICAL_NF_KB_PATHWAY",0.571428571428571,NA,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY",10,0.00251954961652496,0.000499750124937531,0.0134715025906736,116,TRUE,FALSE,FALSE,FALSE,"GOBP_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY",0.8,NA,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_PLACENTA_DEVELOPMENT",10,0.00257514568555943,0.00299850074962519,0.016905737704918,117,TRUE,FALSE,FALSE,FALSE,NA,NA,21,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_LEUKOCYTE_MIGRATION",16,0.00257514568555943,0.0294852573713143,0.145,290,TRUE,FALSE,FALSE,FALSE,"GOBP_MONONUCLEAR_CELL_MIGRATION",0.75,NA,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_EPITHELIAL_CELL_PROLIFERATION",16,0.00257514568555943,0.0344827586206897,0.155,291,TRUE,FALSE,FALSE,FALSE,"GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION",0.5625,NA,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_REGULATION_OF_COAGULATION",7,0.00257514568555943,0.000999500249875062,0.00748596381784155,54,TRUE,FALSE,FALSE,FALSE,NA,NA,8,TRUE,"unpinned"
"WT_heat_up","GO_BP","GOBP_LEUKOCYTE_CHEMOTAXIS",12,0.00257514568555943,0.00999500249875063,0.0571142284569138,172,TRUE,FALSE,FALSE,FALSE,"GOBP_TAXIS",0.521739130434783,NA,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_MONONUCLEAR_CELL_MIGRATION",12,0.00257514568555943,0.0154922538730635,0.0855855855855856,172,TRUE,FALSE,FALSE,FALSE,NA,NA,53,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_LEUKOCYTE_CELL_CELL_ADHESION",18,0.00257514568555943,0.0904547726136932,0.2855,359,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_EOSINOPHIL_MIGRATION",4,0.00267815156929937,0.000499750124937531,0.00681818181818182,12,TRUE,FALSE,FALSE,FALSE,NA,NA,5,TRUE,"unpinned"
"WT_heat_up","GO_BP","GOBP_POSITIVE_REGULATION_OF_SECRETION",14,0.00267815156929937,0.0284857571214393,0.111,233,TRUE,FALSE,FALSE,FALSE,NA,NA,67,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT",10,0.00267815156929937,0.00599700149925037,0.0323232323232323,122,TRUE,FALSE,FALSE,FALSE,"GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT",0.555555555555556,NA,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_REGULATION_OF_RESPONSE_TO_WOUNDING",10,0.00267815156929937,0.00999500249875063,0.0390070921985816,122,TRUE,FALSE,FALSE,FALSE,"GOBP_REGULATION_OF_COAGULATION",0.545454545454545,NA,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION",14,0.00305210763769822,0.0569715142428786,0.183,237,TRUE,FALSE,TRUE,FALSE,NA,NA,NA,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_OSTEOCLAST_DIFFERENTIATION",9,0.00308413707707789,0.00399800099950025,0.0166147455867082,101,TRUE,FALSE,FALSE,FALSE,NA,NA,24,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_EMBRYONIC_ORGAN_DEVELOPMENT",16,0.00308413707707789,0.0249875062468766,0.0805,303,TRUE,FALSE,FALSE,FALSE,NA,NA,66,FALSE,"unpinned"
"WT_heat_up","GO_BP","GOBP_RECEPTOR_MEDIATED_ENDOCYTOSIS",13,0.00308413707707789,0.00199900049975012,0.0176144942123805,209,TRUE,FALSE,FALSE,FALSE,NA,NA,14,FALSE,"unpinned"
