"arm","gene","ID","collection","n_sets_for_gene","weight_fractional","winner_id","is_winner","p_matched","p.adjust"
"Interaction_up","IFI16","GOBP_DEFENSE_RESPONSE_TO_VIRUS","GO_BP",6,0.166666667,"GOBP_DEFENSE_RESPONSE_TO_VIRUS",TRUE,0.000499750125,1.42544432e-07
"Interaction_up","IFI16","GOBP_MONOCYTE_DIFFERENTIATION","GO_BP",6,0.166666667,"GOBP_DEFENSE_RESPONSE_TO_VIRUS",FALSE,0.000499750125,0.00351096867
"Interaction_up","IFI16","GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS","GO_BP",6,0.166666667,"GOBP_DEFENSE_RESPONSE_TO_VIRUS",FALSE,0.000499750125,0.000150431298
"Interaction_up","IFI16","GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE","GO_BP",6,0.166666667,"GOBP_DEFENSE_RESPONSE_TO_VIRUS",FALSE,0.000499750125,0.000405985212
"Interaction_up","IFI16","GOBP_RESPONSE_TO_INTERFERON_BETA","GO_BP",6,0.166666667,"GOBP_DEFENSE_RESPONSE_TO_VIRUS",FALSE,0.00099950025,0.00366225603
"Interaction_up","IFI16","REACTOME_IRF3_MEDIATED_INDUCTION_OF_TYPE_I_IFN","Reactome",6,0.166666667,"GOBP_DEFENSE_RESPONSE_TO_VIRUS",FALSE,0.0019990005,0.0196652385
"Interaction_up","IFIT1B","GOBP_DEFENSE_RESPONSE_TO_VIRUS","GO_BP",3,0.333333333,"GOBP_DEFENSE_RESPONSE_TO_VIRUS",TRUE,0.000499750125,1.42544432e-07
"Interaction_up","IFIT1B","GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS","GO_BP",3,0.333333333,"GOBP_DEFENSE_RESPONSE_TO_VIRUS",FALSE,0.000499750125,0.000150431298
"Interaction_up","IFIT1B","GOMF_MOLECULAR_SEQUESTERING_ACTIVITY","GO_MF",3,0.333333333,"GOBP_DEFENSE_RESPONSE_TO_VIRUS",FALSE,0.000499750125,0.00503176784
"Interaction_up","IRF7","GOBP_DEFENSE_RESPONSE_TO_VIRUS","GO_BP",5,0.2,"GOBP_DEFENSE_RESPONSE_TO_VIRUS",TRUE,0.000499750125,1.42544432e-07
"Interaction_up","IRF7","GOBP_MACROPHAGE_APOPTOTIC_PROCESS","GO_BP",5,0.2,"GOBP_DEFENSE_RESPONSE_TO_VIRUS",FALSE,0.00099950025,0.037583845
"Interaction_up","IRF7","GOBP_MONOCYTE_DIFFERENTIATION","GO_BP",5,0.2,"GOBP_DEFENSE_RESPONSE_TO_VIRUS",FALSE,0.000499750125,0.00351096867
"Interaction_up","IRF7","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","Reactome",5,0.2,"GOBP_DEFENSE_RESPONSE_TO_VIRUS",FALSE,0.000499750125,4.15922713e-05
"Interaction_up","IRF7","REACTOME_INTERFERON_GAMMA_SIGNALING","Reactome",5,0.2,"GOBP_DEFENSE_RESPONSE_TO_VIRUS",FALSE,0.0019990005,0.00498215902
"Interaction_up","MX1","GOBP_DEFENSE_RESPONSE_TO_VIRUS","GO_BP",5,0.2,"GOBP_DEFENSE_RESPONSE_TO_VIRUS",TRUE,0.000499750125,1.42544432e-07
"Interaction_up","MX1","GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS","GO_BP",5,0.2,"GOBP_DEFENSE_RESPONSE_TO_VIRUS",FALSE,0.000499750125,0.000150431298
"Interaction_up","MX1","GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE","GO_BP",5,0.2,"GOBP_DEFENSE_RESPONSE_TO_VIRUS",FALSE,0.000499750125,0.000405985212
"Interaction_up","MX1","GOBP_SYNAPTIC_VESICLE_BUDDING","GO_BP",5,0.2,"GOBP_DEFENSE_RESPONSE_TO_VIRUS",FALSE,0.0019990005,0.037583845
"Interaction_up","MX1","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","Reactome",5,0.2,"GOBP_DEFENSE_RESPONSE_TO_VIRUS",FALSE,0.000499750125,4.15922713e-05
"Interaction_up","RTP4","GOBP_DEFENSE_RESPONSE_TO_VIRUS","GO_BP",2,0.5,"GOBP_DEFENSE_RESPONSE_TO_VIRUS",TRUE,0.000499750125,1.42544432e-07
"Interaction_up","RTP4","GOBP_SENSORY_PERCEPTION_OF_TASTE","GO_BP",2,0.5,"GOBP_DEFENSE_RESPONSE_TO_VIRUS",FALSE,0.0169915042,0.0476288398
"Interaction_up","TRIM5","GOBP_DEFENSE_RESPONSE_TO_VIRUS","GO_BP",4,0.25,"GOBP_DEFENSE_RESPONSE_TO_VIRUS",TRUE,0.000499750125,1.42544432e-07
"Interaction_up","TRIM5","GOBP_HOST_MEDIATED_SUPPRESSION_OF_SYMBIONT_INVASION","GO_BP",4,0.25,"GOBP_DEFENSE_RESPONSE_TO_VIRUS",FALSE,0.0059970015,0.0443600302
"Interaction_up","TRIM5","GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE","GO_BP",4,0.25,"GOBP_DEFENSE_RESPONSE_TO_VIRUS",FALSE,0.000499750125,0.000405985212
"Interaction_up","TRIM5","REACTOME_INTERFERON_GAMMA_SIGNALING","Reactome",4,0.25,"GOBP_DEFENSE_RESPONSE_TO_VIRUS",FALSE,0.0019990005,0.00498215902
"Interaction_up","XAF1","GOBP_RESPONSE_TO_INTERFERON_BETA","GO_BP",3,0.333333333,"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",FALSE,0.00099950025,0.00366225603
"Interaction_up","XAF1","GOMF_MOLECULAR_SEQUESTERING_ACTIVITY","GO_MF",3,0.333333333,"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",FALSE,0.000499750125,0.00503176784
"Interaction_up","XAF1","REACTOME_INTERFERON_ALPHA_BETA_SIGNALING","Reactome",3,0.333333333,"REACTOME_INTERFERON_ALPHA_BETA_SIGNALING",TRUE,0.000499750125,4.15922713e-05
