pathway_id,pathway_name,database,nes_WT_heat,padj_WT_heat,nes_KO_heat,padj_KO_heat,nes_interaction,padj_interaction,sig_interaction,pattern,nes_temp_main,nes_geno_main
ADA2_TARGET_GENES,Ada2 Target Genes,TF_Targets,1.04559012,0.435754493,1.08534397,0.381107681,-1.04772196,0.757297268,False,shared_heat,1.11454272,0.987503985
ADNP_TARGET_GENES,Adnp Target Genes,TF_Targets,1.4431528,0.0445799614,1.31458747,0.128573532,1.18280264,0.552202014,False,shared_heat,1.39413012,1.20012219
AEBP2_TARGET_GENES,Aebp2 Target Genes,TF_Targets,1.12571399,0.27125434,1.1072517,0.307486142,0.969515143,0.904430752,False,shared_heat,1.12412031,-1.20276109
AHRR_TARGET_GENES,Ahrr Target Genes,TF_Targets,1.43046837,0.0122045148,1.37265509,0.0331905493,1.18046247,0.475811869,False,shared_heat,1.39543174,0.904480261
ALKBH3_TARGET_GENES,Alkbh3 Target Genes,TF_Targets,0.902729458,0.706384283,0.951993225,0.616996224,0.847565239,0.999658814,False,shared_heat,0.949956668,-0.810110568
ARHGAP35_TARGET_GENES,Arhgap35 Target Genes,TF_Targets,-1.23769988,0.293275222,-1.12627567,0.410891001,-1.11767058,0.73838064,False,shared_heat,-1.10881013,-1.04348498
ARID3B_TARGET_GENES,Arid3b Target Genes,TF_Targets,1.19842827,0.305039709,1.20761402,0.330590276,0.794779419,0.999658814,False,shared_heat,1.13902731,1.29504778
ARID5B_TARGET_GENES,Arid5b Target Genes,TF_Targets,-1.37883551,0.0465420355,-1.34126846,0.0964204685,1.22750531,0.414557019,False,shared_heat,-1.34383739,0.975673235
ARNT2_TARGET_GENES,Arnt2 Target Genes,TF_Targets,1.00503477,0.528402293,-0.891214033,0.78594453,1.30840656,0.375786574,False,shared_heat,0.949770396,-0.969774974
ASH1L_TARGET_GENES,Ash1l Target Genes,TF_Targets,-1.14224006,0.246643432,-1.18272599,0.235498197,1.1520859,0.528436719,False,shared_heat,-1.16549669,-1.02271578
ATF5_TARGET_GENES,Atf5 Target Genes,TF_Targets,1.30962648,0.165535774,1.39626278,0.115788634,-1.32852303,0.375786574,False,shared_heat,1.34778864,1.14222235
ATF6_TARGET_GENES,Atf6 Target Genes,TF_Targets,1.07844214,0.346106318,-1.02421807,0.488378843,1.12661977,0.583722661,False,shared_heat,1.05178302,-1.17373209
ATXN7L3_TARGET_GENES,Atxn7l3 Target Genes,TF_Targets,1.54172659,0.00924470902,1.64982447,0.00251424437,-1.03336968,0.791256804,False,shared_heat,1.60367792,-1.12343194
AUTS2_TARGET_GENES,Auts2 Target Genes,TF_Targets,1.3987274,0.0629197909,1.34418555,0.114704939,0.746849492,0.999658814,False,shared_heat,1.34533635,-0.821847658
BANP_TARGET_GENES,Banp Target Genes,TF_Targets,-1.25617039,0.175191086,-1.2290334,0.235498197,-0.793408036,0.999658814,False,shared_heat,-1.21510161,-0.911506239
BARHL1_TARGET_GENES,Barhl1 Target Genes,TF_Targets,1.52274709,0.00311738461,1.42597739,0.0236591589,0.923639662,0.97975828,False,shared_heat,1.4871944,1.10591367
BARX1_TARGET_GENES,Barx1 Target Genes,TF_Targets,1.28892914,0.073754947,1.09705627,0.325537531,0.986622256,0.876802204,False,shared_heat,1.19990628,-1.07122152
BARX2_TARGET_GENES,Barx2 Target Genes,TF_Targets,-1.27895455,0.0532697135,-1.39837829,0.0147813058,1.27230905,0.272354625,False,shared_heat,-1.33685275,-1.24224687
BCL6B_TARGET_GENES,Bcl6b Target Genes,TF_Targets,-1.40397079,0.166426048,-1.60098068,0.0737626699,1.31410943,0.501716407,False,shared_heat,-1.48208409,0.929806311
BDP1_TARGET_GENES,Bdp1 Target Genes,TF_Targets,-1.06982075,0.367379158,-1.13089159,0.300810582,1.05251128,0.73838064,False,shared_heat,-1.08527807,-0.97886871
BPTF_TARGET_GENES,Bptf Target Genes,TF_Targets,-1.19127506,0.202254786,-1.25872637,0.155938113,1.24267635,0.375786574,False,shared_heat,-1.24686992,1.16246379
BRCA2_TARGET_GENES,BRCA2 Target Genes,TF_Targets,1.26882869,0.0713908331,1.22993135,0.120897692,0.959120521,0.939204022,False,shared_heat,1.25246654,-1.14758889
CASP8AP2_TARGET_GENES,Casp8ap2 Target Genes,TF_Targets,1.07229929,0.418969431,1.0462816,0.468426018,0.771350971,0.999658814,False,shared_heat,1.06465021,-0.73308269
CBX5_TARGET_GENES,Cbx5 Target Genes,TF_Targets,1.47619858,0.0379167008,1.35056336,0.118233706,1.07809495,0.73838064,False,shared_heat,1.40289874,1.15104624
CBX7_TARGET_GENES,Cbx7 Target Genes,TF_Targets,1.32223017,0.110511316,1.17985116,0.249264183,1.36220436,0.272354625,False,shared_heat,1.23537654,0.941938266
CC2D1A_TARGET_GENES,Cc2d1a Target Genes,TF_Targets,1.4049013,0.0137844811,1.30883099,0.0581761618,0.883909531,0.999658814,False,shared_heat,1.36652371,0.95492028
