database,gene_set,reference_symbol,matrix_symbol
Hallmark,HALLMARK_ALLOGRAFT_REJECTION,Wars1,Wars
Hallmark,HALLMARK_APICAL_JUNCTION,Pals1,Mpp5
Hallmark,HALLMARK_CHOLESTEROL_HOMEOSTASIS,Niban1,Fam129a
Hallmark,HALLMARK_DNA_REPAIR,Polr1h,Znrd1
Hallmark,HALLMARK_E2F_TARGETS,Ddx39a,Ddx39
Hallmark,HALLMARK_ESTROGEN_RESPONSE_LATE,Gfus,Tsta3
Hallmark,HALLMARK_G2M_CHECKPOINT,Ddx39a,Ddx39
Hallmark,HALLMARK_GLYCOLYSIS,Ero1a,Ero1l
Hallmark,HALLMARK_GLYCOLYSIS,Gfus,Tsta3
Hallmark,HALLMARK_HYPOXIA,Ero1a,Ero1l
Hallmark,HALLMARK_IL2_STAT5_SIGNALING,Hycc2,Fam126b
Hallmark,HALLMARK_INTERFERON_ALPHA_RESPONSE,Wars1,Wars
Hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE,Rigi,Ddx58
Hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE,Wars1,Wars
Hallmark,HALLMARK_KRAS_SIGNALING_DN,Myo15a,Myo15
Hallmark,HALLMARK_KRAS_SIGNALING_UP,Ero1a,Ero1l
Hallmark,HALLMARK_MTORC1_SIGNALING,Ddx39a,Ddx39
Hallmark,HALLMARK_MTORC1_SIGNALING,Ero1a,Ero1l
Hallmark,HALLMARK_MTORC1_SIGNALING,Niban1,Fam129a
Hallmark,HALLMARK_MTORC1_SIGNALING,Wars1,Wars
Hallmark,HALLMARK_NOTCH_SIGNALING,Skp1,Skp1a
Hallmark,HALLMARK_P53_PATHWAY,Irag2,Lrmp
Hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Rigi,Ddx58
Hallmark,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Ero1a,Ero1l
KEGG,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,Gfus,Tsta3
KEGG,KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,Wars1,Wars
KEGG,KEGG_CELL_CYCLE,Skp1,Skp1a
KEGG,KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,Rigi,Ddx58
KEGG,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,Gfus,Tsta3
KEGG,KEGG_OOCYTE_MEIOSIS,Skp1,Skp1a
KEGG,KEGG_PURINE_METABOLISM,Polr1h,Znrd1
KEGG,KEGG_PYRIMIDINE_METABOLISM,Polr1h,Znrd1
KEGG,KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,Rigi,Ddx58
KEGG,KEGG_RNA_POLYMERASE,Polr1h,Znrd1
KEGG,KEGG_TGF_BETA_SIGNALING_PATHWAY,Skp1,Skp1a
KEGG,KEGG_TIGHT_JUNCTION,Pals1,Mpp5
KEGG,KEGG_TRYPTOPHAN_METABOLISM,Wars1,Wars
KEGG,KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,Skp1,Skp1a
KEGG,KEGG_VIBRIO_CHOLERAE_INFECTION,Ero1a,Ero1l
KEGG,KEGG_WNT_SIGNALING_PATHWAY,Skp1,Skp1a
Reactome,REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,Skp1,Skp1a
Reactome,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,Skp1,Skp1a
Reactome,REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,Skp1,Skp1a
Reactome,REACTOME_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES,Rigi,Ddx58
Reactome,REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,Skp1,Skp1a
Reactome,REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,Gfus,Tsta3
Reactome,REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION,Polr1h,Znrd1
Reactome,REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,Gfus,Tsta3
Reactome,REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS,Skp1,Skp1a
Reactome,REACTOME_CELL_CELL_COMMUNICATION,Pals1,Mpp5
Reactome,REACTOME_CELL_CYCLE,Skp1,Skp1a
Reactome,REACTOME_CELL_CYCLE_CHECKPOINTS,Skp1,Skp1a
Reactome,REACTOME_CELL_CYCLE_MITOTIC,Skp1,Skp1a
Reactome,REACTOME_CELL_JUNCTION_ORGANIZATION,Pals1,Mpp5
Reactome,REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,Ero1a,Ero1l
Reactome,REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,Skp1,Skp1a
Reactome,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,Ero1a,Ero1l
Reactome,REACTOME_CELLULAR_RESPONSES_TO_STIMULI,Skp1,Skp1a
Reactome,REACTOME_CIRCADIAN_CLOCK,Skp1,Skp1a
Reactome,REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,Skp1,Skp1a
Reactome,REACTOME_CLEC7A_DECTIN_1_SIGNALING,Skp1,Skp1a
Reactome,REACTOME_CO_INHIBITION_BY_PD_1,Skp1,Skp1a
Reactome,REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY,Skp1,Skp1a
Reactome,REACTOME_CYCLIN_D_ASSOCIATED_EVENTS_IN_G1,Skp1,Skp1a
Reactome,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,Rigi,Ddx58
Reactome,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,Skp1,Skp1a
Reactome,REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION,Wars1,Wars
Reactome,REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA,Rigi,Ddx58
