database,n_overlap_before_alias,gene_set,n_unique_set_genes,n_matched,n_matched_via_alias,n_alias_flagged_for_review,n_alias_rejected_ambiguous,n_expression_filtered,n_below_detection,n_absent_from_reference,set_size_resolved,n_alias_collapsed,reference_vocabulary_available,alias_pairs_applied,alias_pairs_flagged,alias_pairs_rejected
GO_BP,3,GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS,3,3,0,0,0,0,0,0,3,0,FALSE,->,->,->
GO_BP,6,GOBP_2FE_2S_CLUSTER_ASSEMBLY,6,6,0,0,0,0,0,0,6,0,FALSE,->,->,->
GO_BP,10,GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS,12,10,0,0,0,0,2,0,10,0,FALSE,->,->,->
GO_BP,10,GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION,10,10,0,0,0,0,0,0,10,0,FALSE,->,->,->
GO_BP,8,GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION,8,8,0,0,0,0,0,0,8,0,FALSE,->,->,->
GO_BP,3,GOBP_4FE_4S_CLUSTER_ASSEMBLY,3,3,0,0,0,0,0,0,3,0,FALSE,->,->,->
GO_BP,1,GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III,1,1,0,0,0,0,0,0,1,0,FALSE,->,->,->
GO_BP,2,GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS,2,2,0,0,0,0,0,0,2,0,FALSE,->,->,->
GO_BP,5,GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION,5,5,0,0,0,0,0,0,5,0,FALSE,->,->,->
GO_BP,3,GOBP_7_METHYLGUANOSINE_MRNA_CAPPING,3,3,0,0,0,0,0,0,3,0,FALSE,->,->,->
GO_BP,0,GOBP_ACETATE_ESTER_TRANSPORT,2,0,0,0,0,0,2,0,0,0,FALSE,->,->,->
GO_BP,1,GOBP_ACETYLCHOLINE_METABOLIC_PROCESS,1,1,0,0,0,0,0,0,1,0,FALSE,->,->,->
GO_BP,16,GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS,18,16,0,0,0,0,2,0,16,0,FALSE,->,->,->
GO_BP,28,GOBP_ACETYL_COA_METABOLIC_PROCESS,32,28,0,0,0,0,4,0,28,0,FALSE,->,->,->
GO_BP,29,GOBP_ACIDIC_AMINO_ACID_TRANSPORT,32,29,0,0,0,0,3,0,29,0,FALSE,->,->,->
GO_BP,12,GOBP_ACID_SECRETION,18,12,0,0,0,0,6,0,12,0,FALSE,->,->,->
GO_BP,2,GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS,2,2,0,0,0,0,0,0,2,0,FALSE,->,->,->
GO_BP,6,GOBP_ACROSOME_ASSEMBLY,6,6,0,0,0,0,0,0,6,0,FALSE,->,->,->
GO_BP,6,GOBP_ACROSOME_REACTION,9,6,0,0,0,0,3,0,6,0,FALSE,->,->,->
GO_BP,6,GOBP_ACTIN_CROSSLINK_FORMATION,6,6,0,0,0,0,0,0,6,0,FALSE,->,->,->
GO_BP,47,GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,63,47,0,0,0,0,16,0,47,0,FALSE,->,->,->
GO_BP,277,GOBP_ACTIN_FILAMENT_BASED_PROCESS,330,277,1,0,2,0,50,0,278,0,FALSE,Myo15a->Myo15,->,Pak3->Stk4/Tacr1->Spr
GO_BP,4,GOBP_ACTIN_FILAMENT_BASED_TRANSPORT,4,4,0,0,0,0,0,0,4,0,FALSE,->,->,->
GO_BP,70,GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION,81,70,0,0,1,0,10,0,70,0,FALSE,->,->,Tacr1->Spr
GO_BP,21,GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION,22,21,0,0,0,0,1,0,21,0,FALSE,->,->,->
