mouse_symbol	mouse_ensembl	human_symbol	mapping_type	matrix_symbol_normalised_to	normalisation_source	babelgene_version
0610009B22Rik	ENSMUSG00000007777	TRAPPC2	many2one	NA		22.9
0610010F05Rik	ENSMUSG00000042208	SANBR	one2one	Sanbr	org.Mm.eg.db	22.9
0610010K14Rik	ENSMUSG00000020831	C17orf49	one2one	NA		22.9
0610012G03Rik	ENSMUSG00000107002	NCBP2AS2	one2one	NA		22.9
0610030E20Rik	ENSMUSG00000058706	C2orf68	one2one	NA		22.9
1110002E22Rik	ENSMUSG00000090066	C4orf54	one2one	NA		22.9
1110004F10Rik	ENSMUSG00000030663	C11orf58	one2one	NA		22.9
1110008P14Rik	ENSMUSG00000039195	BBLN	one2one	Bbln	org.Mm.eg.db	22.9
1110012L19Rik	ENSMUSG00000045237	EOLA1	one2one	Eola1	org.Mm.eg.db	22.9
1110032A03Rik	ENSMUSG00000037971	C11orf1	one2one	NA		22.9
1110032F04Rik	ENSMUSG00000046999	C3orf80	one2one	NA		22.9
1110038F14Rik	ENSMUSG00000063236	C8orf33	one2one	NA		22.9
1110051M20Rik	ENSMUSG00000040591	CSTPP1	one2one	Cstpp1	org.Mm.eg.db	22.9
1110059E24Rik	ENSMUSG00000035171	C9orf85	one2one	NA		22.9
1110059G10Rik	ENSMUSG00000032551	KIAA1143	one2one	NA		22.9
1110065P20Rik	ENSMUSG00000078570	C1orf122	one2one	NA		22.9
1190007I07Rik	ENSMUSG00000063320	C12orf73	one2one	NA		22.9
1500009L16Rik	ENSMUSG00000087651	C12orf75	one2one	NA		22.9
1520401A03Rik	ENSMUSG00000043747	GREP1	one2one	NA		22.9
1600012H06Rik	ENSMUSG00000050088	C6orf120	one2one	NA		22.9
1600014C10Rik	ENSMUSG00000054676	C19orf12	one2one	NA		22.9
1700001O22Rik	ENSMUSG00000044320	C9orf50	one2one	NA		22.9
1700001P01Rik	ENSMUSG00000018543	C17orf98	one2one	NA		22.9
1700003F12Rik	ENSMUSG00000038523	C20orf144	one2one	NA		22.9
1700007K13Rik	ENSMUSG00000026831	PIERCE1	one2one	Pierce1	org.Mm.eg.db	22.9
1700010I14Rik	ENSMUSG00000023873	C6orf118	one2one	NA		22.9
1700012B09Rik	ENSMUSG00000031927	C11orf97	one2one	NA		22.9
1700017B05Rik	ENSMUSG00000032300	C15orf39	one2one	NA		22.9
1700019D03Rik	ENSMUSG00000043629	C2orf88	one2one	NA		22.9
1700020D05Rik	ENSMUSG00000100937	NSMCE3	many2one	Nscme3l	org.Mm.eg.db	22.9
1700020L24Rik	ENSMUSG00000035085	C17orf50	one2one	NA		22.9
1700022I11Rik	ENSMUSG00000028451	C9orf131	one2one	NA		22.9
1700025G04Rik	ENSMUSG00000032666	C1orf21	one2one	NA		22.9
1700029I15Rik	ENSMUSG00000044916	FREY1	one2one	NA		22.9
1700029J07Rik	ENSMUSG00000071103	C4orf47	one2one	NA		22.9
1700030J22Rik	ENSMUSG00000031847	C16orf46	one2one	NA		22.9
1700030K09Rik	ENSMUSG00000052794	C19orf44	one2one	NA		22.9
1700034I23Rik	ENSMUSG00000074619	FUNDC2	many2one	Fundc2b	org.Mm.eg.db	22.9
1700037C18Rik	ENSMUSG00000005983	C16orf90	one2one	NA		22.9
1700037H04Rik	ENSMUSG00000027327	C20orf27	one2one	NA		22.9
1700066B19Rik	ENSMUSG00000073598	SMIM33	one2one	Smim33	org.Mm.eg.db	22.9
1700066M21Rik	ENSMUSG00000038323	C2orf69	one2one	NA		22.9
1700067K01Rik	ENSMUSG00000046408	C19orf67	one2one	NA		22.9
1700086L19Rik	ENSMUSG00000071265	SERTAD4BP	one2one	NA		22.9
1700088E04Rik	ENSMUSG00000033029	C22orf23	one2one	NA		22.9
1700092M07Rik	ENSMUSG00000090840	TEX54	one2one	Tex54	org.Mm.eg.db	22.9
1700094D03Rik	ENSMUSG00000118506	CFAP141	one2one	Cfap141	org.Mm.eg.db	22.9
1700102P08Rik	ENSMUSG00000032611	C3orf62	one2one	NA		22.9
1700123O20Rik	ENSMUSG00000040822	C14orf119	one2one	NA		22.9
1810009A15Rik	ENSMUSG00000071653	C11orf98	one2one	NA		22.9
1810010H24Rik	ENSMUSG00000078607	C17orf58	one2one	NA		22.9
1810013L24Rik	ENSMUSG00000022507	HAPSTR1	one2one	NA		22.9
1810020O05Rik	ENSMUSG00000089997	CFAP92	one2one	NA		22.9
1810030O07Rik	ENSMUSG00000044148	CXorf38	one2one	NA		22.9
1810037I17Rik	ENSMUSG00000054091	C4orf3	one2one	NA		22.9
1810055G02Rik	ENSMUSG00000035372	C11orf24	one2one	NA		22.9
1810058I24Rik	ENSMUSG00000073155	STMP1	one2one	NA		22.9
2010003K11Rik	ENSMUSG00000042041	C11orf86	one2one	NA		22.9
2010300C02Rik	ENSMUSG00000026090	CRACDL	one2one	Cracdl	org.Mm.eg.db	22.9
2200002D01Rik	ENSMUSG00000030587	C19orf33	one2one	NA		22.9
2210016F16Rik	ENSMUSG00000021550	C9orf64	one2one	NA		22.9
2210016L21Rik	ENSMUSG00000029559	C12orf43	one2one	NA		22.9
2210408I21Rik	ENSMUSG00000071252	KIAA0825	one2one	NA		22.9
2300009A05Rik	ENSMUSG00000032403	C15orf61	one2one	NA		22.9
2310009B15Rik	ENSMUSG00000079283	C1orf53	one2one	NA		22.9
2310011J03Rik	ENSMUSG00000020133	C19orf25	one2one	NA		22.9
2310022A10Rik	ENSMUSG00000049643	C19orf47	one2one	NA		22.9
2310022B05Rik	ENSMUSG00000031983	C1orf198	one2one	NA		22.9
2310033P09Rik	ENSMUSG00000020441	C1orf35	one2one	NA		22.9
2310039H08Rik	ENSMUSG00000062619	C6orf226	one2one	NA		22.9
2310057M21Rik	ENSMUSG00000040177	C10orf88	one2one	NA		22.9
2310061I04Rik	ENSMUSG00000050705	C6orf136	one2one	NA		22.9
2410004B18Rik	ENSMUSG00000036873	C1orf52	one2one	NA		22.9
2410004P03Rik	ENSMUSG00000071398	C2orf50	one2one	NA		22.9
2410131K14Rik	ENSMUSG00000032840	SPRING1	one2one	Spring1	org.Mm.eg.db	22.9
2510002D24Rik	ENSMUSG00000071632	C22orf39	one2one	NA		22.9
2510009E07Rik	ENSMUSG00000043391	C3orf70	one2one	NA		22.9
2510039O18Rik	ENSMUSG00000044496	KIAA2013	one2one	NA		22.9
2610001J05Rik	ENSMUSG00000052419	SMIM30	one2one	Smim30	org.Mm.eg.db	22.9
2610002M06Rik	ENSMUSG00000031242	CHMP1B	many2one	Chmp1b2	org.Mm.eg.db	22.9
2610301B20Rik	ENSMUSG00000059482	CFAP418	one2one	Cfap418	org.Mm.eg.db	22.9
2610507B11Rik	ENSMUSG00000010277	BLTP2	one2one	Bltp2	org.Mm.eg.db	22.9
2610528A11Rik	ENSMUSG00000096001	GPR15LG	one2one	NA		22.9
2700049A03Rik	ENSMUSG00000034601	KIAA0586	one2one	NA		22.9
2700062C07Rik	ENSMUSG00000024273	C18orf21	one2one	NA		22.9
2700081O15Rik	ENSMUSG00000053080	ZFTA	one2one	Zfta	org.Mm.eg.db	22.9
2810004N23Rik	ENSMUSG00000031984	C1orf131	one2one	NA		22.9
2810006K23Rik	ENSMUSG00000047635	MTRFR	one2one	Mtrfr	org.Mm.eg.db	22.9
2900026A02Rik	ENSMUSG00000051339	KIAA1671	one2one	NA		22.9
3110009E18Rik	ENSMUSG00000026388	C2orf76	one2one	NA		22.9
3110040N11Rik	ENSMUSG00000025102	C15orf40	one2one	NA		22.9
3110082I17Rik	ENSMUSG00000053553	C7orf50	one2one	NA		22.9
3830403N18Rik	ENSMUSG00000031125	SYCP3	many2one	NA		22.9
3830406C13Rik	ENSMUSG00000033111	C3orf14	one2one	NA		22.9
4430402I18Rik	ENSMUSG00000064202	SPATA6L	one2one	Spata6l	org.Mm.eg.db	22.9
4833420G17Rik	ENSMUSG00000062822	C5orf34	one2one	NA		22.9
4833439L19Rik	ENSMUSG00000025871	KIAA1191	one2one	NA		22.9
4921507P07Rik	ENSMUSG00000029828	C7orf31	one2one	NA		22.9
4921524J17Rik	ENSMUSG00000036934	C16orf87	one2one	NA		22.9
4930402H24Rik	ENSMUSG00000027309	DNAAF9	one2one	Dnaaf9	org.Mm.eg.db	22.9
4930404N11Rik	ENSMUSG00000020234	TEKTIP1	one2one	Tektip1	org.Mm.eg.db	22.9
4930430F08Rik	ENSMUSG00000046567	C12orf29	one2one	NA		22.9
4930432K21Rik	ENSMUSG00000008129	BRME1	one2one	Brme1	org.Mm.eg.db	22.9
4930451G09Rik	ENSMUSG00000022543	DNAAF8	one2one	Dnaaf8	org.Mm.eg.db	22.9
4930452B06Rik	ENSMUSG00000021747	CFAP20DC	one2one	Cfap20dc	org.Mm.eg.db	22.9
4930453N24Rik	ENSMUSG00000059920	C3orf38	one2one	NA		22.9
4930503L19Rik	ENSMUSG00000044906	C18orf54	one2one	NA		22.9
4930523C07Rik	ENSMUSG00000090394	KIAA0040	one2one	NA		22.9
4930550C14Rik	ENSMUSG00000005131	C11orf65	one2one	NA		22.9
4930562C15Rik	ENSMUSG00000022518	C16orf96	one2one	NA		22.9
4930563E22Rik	ENSMUSG00000053574	C17orf100	one2one	NA		22.9
4930579G24Rik	ENSMUSG00000027811	C4orf46	one2one	NA		22.9
4930590J08Rik	ENSMUSG00000034063	C3orf20	one2one	NA		22.9
4931406C07Rik	ENSMUSG00000031938	C11orf54	one2one	NA		22.9
4931406P16Rik	ENSMUSG00000066571	GARRE1	one2one	Garre1	org.Mm.eg.db	22.9
4931414P19Rik	ENSMUSG00000022179	C14orf93	one2one	NA		22.9
